Comparing the following files: 
hadleigh_front_s1_v2/,  hadleigh_low_s1_v2/,  hadleigh_right_threequarter_s1_v2/,  hadleigh_left_threequarter_s1_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s1_v2_vs_hadleigh_low_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_right_threequarter_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  average
(55, 161),     0.73885,       0.68908,       0.6414,       0.75485,       0.5764,       0.53386,       0.65574
(55, 246),     0.7311,       0.69775,       0.62718,       0.74584,       0.54978,       0.52839,       0.64667
(110, 285),     0.72732,       0.79904,       0.60335,       0.74984,       0.45081,       0.53533,       0.64428
(55, 160),     0.72139,       0.6392,       0.65034,       0.74534,       0.57742,       0.51121,       0.64082
(25, 285),     0.76602,       0.77171,       0.5657,       0.79492,       0.43162,       0.5024,       0.63873
(161, 336),     0.73472,       0.72976,       0.59297,       0.81171,       0.46943,       0.49076,       0.63823
(98, 287),     0.67095,       0.70354,       0.55259,       0.65451,       0.70919,       0.52716,       0.63632
(160, 336),     0.71148,       0.71665,       0.60297,       0.81466,       0.4773,       0.49091,       0.63566
(246, 336),     0.73171,       0.73606,       0.5735,       0.81214,       0.4441,       0.4869,       0.63073
(287, 327),     0.63899,       0.7917,       0.46524,       0.84066,       0.5085,       0.51579,       0.62681
(25, 55),     0.63441,       0.68489,       0.65083,       0.70451,       0.51591,       0.54682,       0.62289
(24, 285),     0.65998,       0.80502,       0.62478,       0.67888,       0.41624,       0.55133,       0.6227
(33, 336),     0.71379,       0.74483,       0.55368,       0.80768,       0.41869,       0.47619,       0.61914
(25, 336),     0.64078,       0.75843,       0.59628,       0.77906,       0.40647,       0.53003,       0.61851
(33, 55),     0.6992,       0.68312,       0.61273,       0.6956,       0.51991,       0.49255,       0.61718
(7, 285),     0.74041,       0.77038,       0.52337,       0.76163,       0.43137,       0.46716,       0.61572
(159, 336),     0.65882,       0.72029,       0.5861,       0.81731,       0.43191,       0.47825,       0.61545
(56, 246),     0.76809,       0.72781,       0.53346,       0.73008,       0.52344,       0.39877,       0.61361
(56, 161),     0.72016,       0.70388,       0.52876,       0.75766,       0.55817,       0.40854,       0.61286
(246, 285),     0.77439,       0.723,       0.49287,       0.79525,       0.43092,       0.44695,       0.61056
(25, 258),     0.76798,       0.74437,       0.50467,       0.68161,       0.48734,       0.47672,       0.61045
(25, 286),     0.80604,       0.69473,       0.51315,       0.68573,       0.50813,       0.44271,       0.60841
(110, 414),     0.73418,       0.71716,       0.52908,       0.71488,       0.53077,       0.42376,       0.6083
(33, 285),     0.77386,       0.74249,       0.485,       0.79107,       0.41092,       0.44567,       0.60817
(161, 285),     0.75661,       0.7042,       0.4989,       0.79445,       0.45135,       0.43999,       0.60758
(110, 384),     0.73642,       0.67198,       0.50119,       0.75162,       0.54676,       0.43677,       0.60746
(110, 286),     0.77025,       0.70846,       0.56763,       0.59343,       0.54117,       0.4565,       0.60624
(7, 336),     0.63613,       0.77151,       0.56987,       0.74184,       0.40663,       0.49793,       0.60399
(163, 285),     0.68805,       0.77994,       0.55892,       0.69244,       0.42143,       0.47939,       0.60336
(110, 385),     0.72896,       0.67824,       0.49518,       0.72804,       0.54604,       0.43381,       0.60171
(130, 336),     0.69518,       0.7142,       0.5544,       0.79265,       0.37942,       0.46773,       0.6006
(110, 258),     0.7128,       0.76073,       0.55191,       0.57879,       0.50748,       0.4844,       0.59935
(160, 285),     0.72542,       0.68424,       0.49621,       0.79847,       0.45972,       0.42861,       0.59878
(161, 296),     0.68839,       0.74292,       0.56664,       0.68199,       0.42809,       0.48409,       0.59869
(25, 385),     0.74213,       0.65797,       0.4428,       0.7799,       0.51236,       0.45137,       0.59776
(24, 414),     0.68992,       0.71265,       0.58059,       0.64019,       0.5337,       0.42845,       0.59758
(110, 336),     0.54972,       0.78632,       0.6165,       0.67944,       0.3801,       0.56684,       0.59649
(160, 296),     0.65506,       0.73762,       0.57964,       0.68833,       0.42889,       0.48796,       0.59625
(25, 384),     0.74488,       0.65561,       0.42268,       0.80984,       0.50768,       0.43471,       0.5959
(7, 55),     0.59279,       0.71398,       0.63298,       0.60772,       0.50574,       0.51609,       0.59488
(24, 384),     0.70618,       0.64237,       0.53919,       0.68165,       0.55182,       0.42339,       0.59077
(107, 161),     0.50425,       0.63828,       0.65357,       0.69729,       0.48586,       0.56464,       0.59065
(33, 56),     0.75839,       0.70368,       0.53576,       0.67421,       0.49811,       0.37293,       0.59051
(246, 296),     0.68803,       0.74817,       0.54426,       0.68028,       0.40429,       0.47674,       0.59029
(25, 157),     0.77199,       0.68675,       0.55211,       0.67187,       0.4935,       0.36338,       0.58993
(55, 110),     0.51543,       0.72738,       0.65345,       0.60132,       0.45035,       0.58838,       0.58938
(110, 190),     0.58738,       0.67204,       0.58012,       0.68533,       0.49659,       0.51142,       0.58881
(160, 295),     0.75143,       0.69197,       0.5367,       0.65358,       0.45089,       0.44142,       0.58766
(55, 159),     0.63364,       0.59442,       0.63807,       0.70254,       0.50398,       0.45152,       0.58736
(24, 385),     0.70979,       0.66155,       0.51674,       0.6789,       0.5468,       0.4089,       0.58711
(107, 246),     0.49022,       0.65468,       0.64022,       0.70064,       0.46843,       0.56304,       0.5862
(25, 414),     0.73942,       0.68866,       0.43089,       0.77373,       0.48501,       0.39812,       0.58597
(110, 398),     0.66689,       0.65509,       0.46266,       0.77397,       0.53518,       0.42017,       0.58566
(35, 387),     0.76259,       0.63652,       0.50951,       0.71453,       0.47046,       0.4116,       0.5842
(144, 285),     0.62879,       0.78404,       0.59681,       0.60639,       0.39091,       0.49624,       0.58386
(24, 286),     0.71098,       0.71129,       0.60195,       0.49326,       0.52825,       0.45716,       0.58381
(161, 295),     0.7719,       0.68411,       0.52102,       0.64429,       0.44283,       0.43749,       0.58361
(98, 308),     0.7053,       0.51749,       0.61184,       0.55491,       0.67117,       0.43242,       0.58219
(25, 56),     0.65344,       0.6762,       0.57157,       0.71978,       0.45904,       0.41313,       0.58219
(159, 285),     0.698,       0.69817,       0.4478,       0.81544,       0.43033,       0.40165,       0.5819
(308, 327),     0.54735,       0.68335,       0.45648,       0.7433,       0.58002,       0.47818,       0.58145
(25, 257),     0.70485,       0.72521,       0.48519,       0.60295,       0.47256,       0.49142,       0.58036
(292, 327),     0.55909,       0.67977,       0.46525,       0.73603,       0.56895,       0.47153,       0.5801
(130, 285),     0.74664,       0.71894,       0.4789,       0.73621,       0.35658,       0.44228,       0.57993
