Comparing the following files: 
kelly_front_s2_v2/,  hadleigh_front_s2_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s2_v2_vs_hadleigh_front_s2_v2,  average
(29, 306),     -0.5676,       -0.5676
(30, 291),     -0.56615,       -0.56615
(29, 291),     -0.56468,       -0.56468
(30, 306),     -0.56445,       -0.56445
(29, 292),     -0.56359,       -0.56359
(246, 291),     -0.56046,       -0.56046
(246, 306),     -0.55774,       -0.55774
(29, 308),     -0.55582,       -0.55582
(30, 292),     -0.55574,       -0.55574
(247, 291),     -0.54943,       -0.54943
(246, 292),     -0.54907,       -0.54907
(33, 291),     -0.54825,       -0.54825
(30, 308),     -0.54515,       -0.54515
(161, 306),     -0.54307,       -0.54307
(161, 292),     -0.54247,       -0.54247
(247, 306),     -0.54084,       -0.54084
(161, 291),     -0.53926,       -0.53926
(246, 308),     -0.53628,       -0.53628
(33, 306),     -0.53574,       -0.53574
(130, 291),     -0.53431,       -0.53431
(27, 306),     -0.53192,       -0.53192
(161, 308),     -0.53076,       -0.53076
(27, 292),     -0.53041,       -0.53041
(28, 30),     -0.52676,       -0.52676
(27, 291),     -0.52497,       -0.52497
(27, 308),     -0.52469,       -0.52469
(7, 291),     -0.52349,       -0.52349
(247, 292),     -0.52346,       -0.52346
(130, 306),     -0.52052,       -0.52052
(160, 292),     -0.51732,       -0.51732
(33, 292),     -0.51417,       -0.51417
(7, 306),     -0.51187,       -0.51187
(160, 306),     -0.51136,       -0.51136
(247, 308),     -0.50957,       -0.50957
(28, 29),     -0.50831,       -0.50831
(160, 308),     -0.50689,       -0.50689
(27, 28),     -0.50522,       -0.50522
(161, 327),     -0.50328,       -0.50328
(144, 247),     -0.50212,       -0.50212
(160, 291),     -0.50142,       -0.50142
(161, 190),     -0.50066,       -0.50066
(33, 308),     -0.49944,       -0.49944
(130, 292),     -0.49658,       -0.49658
(160, 327),     -0.49625,       -0.49625
(163, 291),     -0.49367,       -0.49367
(25, 291),     -0.49339,       -0.49339
(155, 246),     -0.49307,       -0.49307
(7, 292),     -0.48979,       -0.48979
