Comparing the following files: 
kelly_front_s3_v2/,  kelly_low_s3_v2/,  kelly_right_threequarter_s3_v2/,  kelly_left_threequarter_s3_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s3_v2_vs_kelly_low_s3_v2,  kelly_front_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_front_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_right_threequarter_s3_v2_vs_kelly_left_threequarter_s3_v2,  average
(112, 157),     0.96724,       0.7648,       0.59215,       0.80751,       0.63329,       0.87901,       0.774
(26, 157),     0.95546,       0.77235,       0.57865,       0.81785,       0.63936,       0.86588,       0.77159
(22, 158),     0.95969,       0.766,       0.5885,       0.79294,       0.61859,       0.88359,       0.76822
(133, 157),     0.92887,       0.78456,       0.61364,       0.79566,       0.61131,       0.87128,       0.76755
(22, 159),     0.9669,       0.76888,       0.58805,       0.78636,       0.6065,       0.88469,       0.7669
(26, 56),     0.82548,       0.77075,       0.62592,       0.85891,       0.70207,       0.81629,       0.76657
(22, 160),     0.96512,       0.79137,       0.58755,       0.79216,       0.59531,       0.86409,       0.76593
(26, 158),     0.96595,       0.76177,       0.58377,       0.78864,       0.61063,       0.88298,       0.76562
(155, 157),     0.90232,       0.77502,       0.59414,       0.80587,       0.63196,       0.88086,       0.76503
(23, 158),     0.94142,       0.76885,       0.58895,       0.79269,       0.61698,       0.87969,       0.76476
(153, 160),     0.93504,       0.82213,       0.58964,       0.80099,       0.5938,       0.84605,       0.76461
(133, 173),     0.92841,       0.7614,       0.5854,       0.79557,       0.64344,       0.87013,       0.76406
(26, 159),     0.96552,       0.77414,       0.58741,       0.78542,       0.59779,       0.87382,       0.76402
(22, 157),     0.92236,       0.79465,       0.57787,       0.81865,       0.62997,       0.83697,       0.76341
(56, 112),     0.83199,       0.73675,       0.64638,       0.83977,       0.68763,       0.83781,       0.76339
(26, 28),     0.80782,       0.75055,       0.62355,       0.85998,       0.69573,       0.83891,       0.76276
(23, 159),     0.96106,       0.76231,       0.57927,       0.78477,       0.60339,       0.88529,       0.76268
(23, 160),     0.96581,       0.77672,       0.57456,       0.78797,       0.59587,       0.8733,       0.76237
(112, 158),     0.96397,       0.76607,       0.59242,       0.78138,       0.5955,       0.87217,       0.76192
(145, 160),     0.94691,       0.80192,       0.57822,       0.79124,       0.58729,       0.86494,       0.76175
(157, 173),     0.91916,       0.78882,       0.62414,       0.78778,       0.58428,       0.8593,       0.76058
(24, 158),     0.91966,       0.76312,       0.59845,       0.78362,       0.61676,       0.87786,       0.75991
(26, 27),     0.81001,       0.76517,       0.60451,       0.85659,       0.6761,       0.84679,       0.75986
(112, 159),     0.95821,       0.77938,       0.59701,       0.77985,       0.58607,       0.85802,       0.75976
(153, 159),     0.92991,       0.78087,       0.58033,       0.79052,       0.60116,       0.87466,       0.75957
(26, 160),     0.96135,       0.79878,       0.58597,       0.79021,       0.58047,       0.84047,       0.75954
(24, 159),     0.94915,       0.75368,       0.58037,       0.78044,       0.60332,       0.88911,       0.75935
(341, 386),     0.85819,       0.77467,       0.67199,       0.76901,       0.61103,       0.87097,       0.75931
(98, 291),     0.84934,       0.73254,       0.70312,       0.76962,       0.77838,       0.71658,       0.75826
(110, 246),     0.95017,       0.77092,       0.55226,       0.80315,       0.61118,       0.85957,       0.75787
(155, 158),     0.90804,       0.77755,       0.6017,       0.78721,       0.60249,       0.86901,       0.75767
(24, 161),     0.96089,       0.77203,       0.55349,       0.79345,       0.60083,       0.86525,       0.75766
(154, 159),     0.90372,       0.79198,       0.58903,       0.79378,       0.60653,       0.86081,       0.75764
(154, 160),     0.90814,       0.82868,       0.59741,       0.79718,       0.59275,       0.82083,       0.7575
(256, 387),     0.85603,       0.78503,       0.65198,       0.77945,       0.61466,       0.85781,       0.75749
(24, 160),     0.96326,       0.75337,       0.56412,       0.78059,       0.59745,       0.88569,       0.75741
(157, 243),     0.96874,       0.78146,       0.58763,       0.79369,       0.57776,       0.8345,       0.7573
(190, 243),     0.8543,       0.7132,       0.69862,       0.78815,       0.67729,       0.8066,       0.75636
(341, 385),     0.89607,       0.77604,       0.6324,       0.76693,       0.58616,       0.88024,       0.75631
(155, 159),     0.90148,       0.78947,       0.60558,       0.7867,       0.60017,       0.85412,       0.75625
(258, 381),     0.77256,       0.81629,       0.72223,       0.78291,       0.59941,       0.842,       0.7559
(133, 158),     0.92147,       0.78044,       0.61406,       0.77588,       0.58521,       0.85755,       0.75577
(23, 161),     0.95901,       0.80187,       0.56402,       0.79856,       0.58571,       0.82527,       0.75574
(144, 161),     0.94281,       0.81212,       0.55989,       0.79443,       0.57598,       0.84838,       0.7556
(154, 158),     0.90248,       0.7723,       0.58028,       0.79267,       0.61176,       0.87369,       0.75553
(22, 27),     0.76793,       0.75852,       0.61063,       0.86163,       0.68875,       0.84457,       0.75534
(341, 384),     0.92657,       0.7752,       0.58731,       0.78146,       0.58213,       0.87938,       0.75534
(154, 157),     0.89637,       0.76644,       0.55591,       0.81345,       0.63204,       0.86062,       0.75414
(98, 306),     0.84287,       0.73429,       0.6989,       0.77018,       0.77934,       0.69609,       0.75361
(258, 382),     0.79756,       0.79263,       0.73745,       0.77417,       0.58631,       0.83317,       0.75355
(384, 463),     0.89609,       0.76442,       0.65721,       0.75779,       0.59777,       0.84752,       0.75347
(22, 28),     0.76746,       0.75709,       0.62082,       0.85332,       0.7009,       0.82104,       0.75344
(133, 159),     0.90932,       0.78885,       0.61474,       0.77664,       0.58706,       0.84081,       0.7529
(28, 154),     0.80366,       0.75893,       0.58998,       0.854,       0.68295,       0.82754,       0.75284
(27, 154),     0.80004,       0.76703,       0.57913,       0.85528,       0.67227,       0.84263,       0.75273
(110, 161),     0.95591,       0.74913,       0.55426,       0.783,       0.59729,       0.87665,       0.75271
(155, 160),     0.9015,       0.81955,       0.61272,       0.78699,       0.58602,       0.80735,       0.75235
(153, 158),     0.91459,       0.75831,       0.56853,       0.78945,       0.60527,       0.87779,       0.75232
(26, 29),     0.83868,       0.79661,       0.57563,       0.84221,       0.64416,       0.81641,       0.75228
(112, 160),     0.95072,       0.80345,       0.59588,       0.78268,       0.56582,       0.81342,       0.75199
(145, 161),     0.93469,       0.84338,       0.57074,       0.80002,       0.56775,       0.79494,       0.75192
(145, 159),     0.92611,       0.76092,       0.56986,       0.78002,       0.58996,       0.88207,       0.75149
(56, 155),     0.81759,       0.74281,       0.61679,       0.83191,       0.67527,       0.82101,       0.7509
(28, 112),     0.81299,       0.72666,       0.62275,       0.83176,       0.67144,       0.83912,       0.75079
(27, 112),     0.82155,       0.74942,       0.60357,       0.82933,       0.65568,       0.84046,       0.75
(286, 382),     0.82156,       0.83582,       0.67601,       0.78208,       0.57022,       0.81331,       0.74983
(22, 161),     0.95512,       0.81425,       0.57245,       0.79758,       0.57076,       0.78853,       0.74978
(256, 386),     0.88918,       0.7815,       0.61079,       0.77228,       0.57775,       0.86717,       0.74978
(56, 154),     0.82232,       0.78852,       0.57666,       0.84038,       0.67925,       0.79149,       0.74977
(110, 160),     0.93974,       0.74916,       0.57252,       0.76652,       0.58425,       0.88573,       0.74965
(144, 160),     0.93178,       0.76874,       0.56383,       0.77566,       0.57752,       0.87729,       0.74914
(286, 341),     0.83172,       0.80988,       0.68975,       0.79062,       0.56683,       0.80339,       0.7487
(25, 246),     0.95317,       0.72401,       0.56078,       0.78708,       0.61786,       0.8485,       0.74857
(22, 29),     0.79379,       0.78274,       0.58426,       0.84886,       0.66134,       0.82037,       0.74856
(56, 243),     0.82565,       0.72852,       0.65987,       0.80645,       0.64796,       0.82244,       0.74848
(27, 155),     0.80981,       0.74938,       0.59535,       0.83574,       0.65882,       0.8417,       0.74847
(163, 246),     0.92493,       0.82294,       0.54541,       0.80135,       0.56536,       0.82935,       0.74822
(286, 414),     0.8178,       0.79237,       0.74881,       0.75754,       0.58494,       0.78664,       0.74802
(258, 341),     0.79964,       0.77228,       0.74117,       0.7797,       0.58739,       0.80724,       0.7479
(110, 159),     0.90417,       0.75899,       0.5942,       0.76027,       0.58477,       0.88456,       0.74783
(145, 158),     0.88518,       0.77532,       0.56938,       0.78895,       0.60027,       0.86766,       0.74779
(98, 308),     0.83059,       0.74556,       0.68801,       0.77201,       0.77518,       0.67304,       0.7474
(98, 292),     0.83236,       0.73676,       0.69185,       0.76816,       0.77422,       0.67799,       0.74689
(29, 154),     0.82231,       0.79578,       0.55543,       0.83875,       0.64738,       0.82144,       0.74685
(24, 246),     0.94737,       0.7896,       0.54996,       0.7896,       0.59302,       0.81114,       0.74678
(112, 173),     0.95577,       0.73998,       0.53824,       0.81181,       0.61727,       0.81609,       0.74653
(158, 243),     0.95187,       0.77818,       0.59442,       0.7677,       0.55527,       0.83043,       0.74631
(257, 382),     0.75686,       0.76606,       0.78352,       0.77362,       0.59331,       0.80446,       0.7463
(28, 155),     0.80404,       0.73068,       0.60759,       0.83427,       0.66754,       0.83261,       0.74612
(29, 155),     0.83576,       0.7795,       0.57607,       0.81932,       0.64071,       0.82031,       0.74528
(23, 157),     0.8628,       0.79869,       0.57446,       0.79894,       0.61528,       0.81824,       0.74474
(27, 153),     0.75803,       0.76306,       0.57928,       0.85349,       0.67239,       0.84202,       0.74471
(144, 159),     0.87627,       0.77659,       0.5762,       0.77968,       0.58519,       0.87254,       0.74441
(380, 387),     0.82067,       0.7893,       0.64871,       0.77337,       0.58787,       0.84541,       0.74422
(252, 387),     0.89173,       0.79145,       0.6033,       0.77927,       0.56722,       0.83234,       0.74422
(257, 381),     0.72845,       0.77804,       0.76199,       0.78584,       0.58937,       0.82034,       0.744
(256, 258),     0.77168,       0.78857,       0.72592,       0.78882,       0.58081,       0.80782,       0.74394
(158, 173),     0.90006,       0.7757,       0.61902,       0.76173,       0.56359,       0.84273,       0.74381
(256, 385),     0.91418,       0.78229,       0.57293,       0.77318,       0.55423,       0.86548,       0.74372
(286, 463),     0.83828,       0.78374,       0.71275,       0.7669,       0.5602,       0.80001,       0.74365
(29, 112),     0.8485,       0.78295,       0.57803,       0.81377,       0.62869,       0.8095,       0.74357
(159, 243),     0.93826,       0.78822,       0.59984,       0.76611,       0.55657,       0.80982,       0.74314
(133, 160),     0.90143,       0.81384,       0.6174,       0.77513,       0.56976,       0.78003,       0.74293
(341, 398),     0.93199,       0.74624,       0.52491,       0.79776,       0.61833,       0.83823,       0.74291
(362, 384),     0.85762,       0.77241,       0.63043,       0.75927,       0.5621,       0.8755,       0.74289
(362, 385),     0.81209,       0.77057,       0.67911,       0.74965,       0.57723,       0.86735,       0.74267
(161, 163),     0.92549,       0.77202,       0.54238,       0.78326,       0.56948,       0.86284,       0.74258
(256, 384),     0.92708,       0.79053,       0.5395,       0.78862,       0.55724,       0.85162,       0.74243
(252, 386),     0.91524,       0.78741,       0.56994,       0.77551,       0.54797,       0.85278,       0.74147
(28, 153),     0.75676,       0.76483,       0.58687,       0.8388,       0.67498,       0.81611,       0.73972
(29, 153),     0.78224,       0.7882,       0.55495,       0.8397,       0.64865,       0.8245,       0.73971
(159, 173),     0.87904,       0.78496,       0.6167,       0.7617,       0.57354,       0.81953,       0.73925
(7, 246),     0.91821,       0.78445,       0.52351,       0.80441,       0.56441,       0.84003,       0.73917
(252, 385),     0.92661,       0.79396,       0.5494,       0.77737,       0.53724,       0.84983,       0.73907
(27, 243),     0.81894,       0.75086,       0.60586,       0.79911,       0.63051,       0.82621,       0.73858
(374, 387),     0.87746,       0.79269,       0.60094,       0.77783,       0.5558,       0.82666,       0.73856
(253, 387),     0.91029,       0.78737,       0.56695,       0.78394,       0.54759,       0.82802,       0.73736
(257, 341),     0.75292,       0.74681,       0.77555,       0.7781,       0.59559,       0.77393,       0.73715
(28, 243),     0.8057,       0.72227,       0.6261,       0.7998,       0.6407,       0.82709,       0.73694
(112, 190),     0.83638,       0.74982,       0.58777,       0.80841,       0.65716,       0.78154,       0.73685
(381, 387),     0.72469,       0.76013,       0.68346,       0.76867,       0.62266,       0.86123,       0.73681
(153, 157),     0.86253,       0.80377,       0.53071,       0.8104,       0.6035,       0.80988,       0.7368
(385, 463),     0.83733,       0.76504,       0.66819,       0.75284,       0.58154,       0.81383,       0.73646
(110, 158),     0.83948,       0.76617,       0.61354,       0.74291,       0.58506,       0.87123,       0.7364
(258, 463),     0.80272,       0.75509,       0.75478,       0.75229,       0.58027,       0.77318,       0.73639
(25, 161),     0.92411,       0.72013,       0.56766,       0.75207,       0.58666,       0.86749,       0.73635
(286, 381),     0.79195,       0.86423,       0.64901,       0.76038,       0.58556,       0.76676,       0.73631
(155, 173),     0.85897,       0.74457,       0.51478,       0.80832,       0.64646,       0.84443,       0.73625
(253, 386),     0.91652,       0.78606,       0.54885,       0.77874,       0.53974,       0.84751,       0.73624
(384, 398),     0.81253,       0.76893,       0.66371,       0.74868,       0.56026,       0.86214,       0.73604
(153, 161),     0.91528,       0.85044,       0.57596,       0.78839,       0.55346,       0.73202,       0.73593
(144, 158),     0.80459,       0.79073,       0.58156,       0.77746,       0.59993,       0.85955,       0.73564
(362, 398),     0.88675,       0.74939,       0.56724,       0.76393,       0.56607,       0.87795,       0.73522
(256, 388),     0.77975,       0.75944,       0.66501,       0.77826,       0.62624,       0.80253,       0.7352
(258, 362),     0.77572,       0.77347,       0.75379,       0.75642,       0.56409,       0.78711,       0.7351
(373, 388),     0.89067,       0.79479,       0.59579,       0.7837,       0.55288,       0.79117,       0.73483
(25, 33),     0.93502,       0.72652,       0.56423,       0.75425,       0.63218,       0.7943,       0.73442
(380, 386),     0.8459,       0.78322,       0.59354,       0.77046,       0.55593,       0.8572,       0.73438
(253, 385),     0.91159,       0.79908,       0.54118,       0.77651,       0.5392,       0.83822,       0.7343
(252, 388),     0.83747,       0.77876,       0.63853,       0.77772,       0.5843,       0.78773,       0.73408
(286, 362),     0.80158,       0.81598,       0.69947,       0.76655,       0.53873,       0.78132,       0.73394
(381, 386),     0.77414,       0.76803,       0.64093,       0.7639,       0.58554,       0.87081,       0.73389
(382, 385),     0.79293,       0.76478,       0.64238,       0.75393,       0.57287,       0.87629,       0.73386
(23, 27),     0.69614,       0.72781,       0.6086,       0.85002,       0.68621,       0.83244,       0.73354
(252, 384),     0.91484,       0.81342,       0.5318,       0.7819,       0.55067,       0.80745,       0.73335
(254, 387),     0.91624,       0.77937,       0.53929,       0.78669,       0.53645,       0.8417,       0.73329
(160, 163),     0.85674,       0.77756,       0.56427,       0.77239,       0.56605,       0.86139,       0.73307
(339, 466),     0.91245,       0.77651,       0.54328,       0.80088,       0.54835,       0.81681,       0.73305
(22, 56),     0.76674,       0.78516,       0.59346,       0.80745,       0.68136,       0.7624,       0.73276
(341, 387),     0.81348,       0.77086,       0.64832,       0.78049,       0.6002,       0.78258,       0.73265
(382, 386),     0.73391,       0.7482,       0.68564,       0.75915,       0.60016,       0.86711,       0.73236
(254, 388),     0.9135,       0.77917,       0.54794,       0.79583,       0.54378,       0.81202,       0.73204
(258, 380),     0.73486,       0.8161,       0.68998,       0.76487,       0.60108,       0.78001,       0.73115
(256, 257),     0.71971,       0.75077,       0.75742,       0.79205,       0.57814,       0.7829,       0.73016
(254, 386),     0.90133,       0.7841,       0.53456,       0.77676,       0.53252,       0.84703,       0.72938
(23, 29),     0.7314,       0.74829,       0.58251,       0.84233,       0.66241,       0.80871,       0.72928
(390, 466),     0.88902,       0.79634,       0.60492,       0.78153,       0.5515,       0.75104,       0.72906
(308, 327),     0.77654,       0.67935,       0.52719,       0.82837,       0.72751,       0.83234,       0.72855
(374, 388),     0.82782,       0.79224,       0.64798,       0.77008,       0.56297,       0.77013,       0.72854
(26, 161),     0.9417,       0.81655,       0.56431,       0.78416,       0.53618,       0.72828,       0.72853
(382, 384),     0.83064,       0.76867,       0.5795,       0.76703,       0.5533,       0.872,       0.72852
(381, 385),     0.82007,       0.77755,       0.5875,       0.76461,       0.55213,       0.86445,       0.72772
(253, 388),     0.87863,       0.78327,       0.58774,       0.78805,       0.55247,       0.77575,       0.72765
(29, 243),     0.83942,       0.78373,       0.57939,       0.77565,       0.60227,       0.78525,       0.72762
(380, 385),     0.86871,       0.79141,       0.54997,       0.77399,       0.53408,       0.84726,       0.72757
(374, 386),     0.8664,       0.78354,       0.55422,       0.77474,       0.53622,       0.84433,       0.72657
(381, 384),     0.86092,       0.79687,       0.53364,       0.78148,       0.54411,       0.84213,       0.72652
(306, 327),     0.7702,       0.67561,       0.52249,       0.82674,       0.72873,       0.83387,       0.72627
(27, 133),     0.77273,       0.72021,       0.57821,       0.81461,       0.63803,       0.82781,       0.72527
(291, 327),     0.76479,       0.66975,       0.52497,       0.82458,       0.73079,       0.83594,       0.72514
(256, 286),     0.79805,       0.83305,       0.65934,       0.76527,       0.54811,       0.74651,       0.72506
(292, 327),     0.76795,       0.67446,       0.52175,       0.82636,       0.7252,       0.83236,       0.72468
(33, 110),     0.92293,       0.75317,       0.55796,       0.74944,       0.59431,       0.76988,       0.72462
(27, 145),     0.68842,       0.74594,       0.58472,       0.83222,       0.65922,       0.83503,       0.72426
(25, 160),     0.85942,       0.73708,       0.58086,       0.72769,       0.56522,       0.87483,       0.72418
(380, 388),     0.72588,       0.76391,       0.69663,       0.75231,       0.59509,       0.80693,       0.72346
(257, 380),     0.69136,       0.77256,       0.73272,       0.78817,       0.57392,       0.78144,       0.72336
(23, 28),     0.68153,       0.72837,       0.61446,       0.82107,       0.69495,       0.79855,       0.72315
(373, 387),     0.86089,       0.7822,       0.5532,       0.77896,       0.53357,       0.82886,       0.72295
(339, 388),     0.9091,       0.77785,       0.51126,       0.78931,       0.52123,       0.82708,       0.72264
(29, 133),     0.80521,       0.755,       0.55922,       0.79447,       0.62124,       0.80017,       0.72255
(257, 362),     0.73006,       0.74707,       0.78553,       0.75758,       0.57133,       0.74235,       0.72232
(144, 246),     0.90784,       0.83473,       0.55029,       0.77546,       0.52827,       0.73672,       0.72222
(29, 145),     0.71788,       0.7656,       0.56001,       0.82589,       0.64156,       0.82181,       0.72213
(160, 243),     0.91983,       0.80652,       0.59811,       0.75477,       0.52517,       0.7261,       0.72175
(385, 398),     0.73166,       0.75157,       0.70299,       0.73849,       0.57064,       0.83436,       0.72162
(374, 385),     0.85383,       0.80225,       0.53682,       0.76932,       0.53964,       0.82513,       0.72116
(380, 384),     0.86484,       0.81972,       0.51857,       0.77217,       0.55102,       0.79265,       0.71983
(56, 190),     0.78438,       0.73091,       0.62506,       0.77151,       0.59116,       0.8138,       0.71947
(252, 258),     0.74139,       0.79978,       0.69546,       0.77447,       0.57084,       0.73262,       0.71909
(259, 381),     0.67227,       0.73092,       0.77494,       0.77577,       0.60928,       0.7504,       0.71893
(362, 386),     0.74821,       0.7526,       0.67712,       0.75858,       0.57203,       0.80152,       0.71834
(28, 133),     0.75554,       0.69365,       0.59065,       0.81089,       0.64095,       0.8183,       0.71833
(56, 133),     0.75394,       0.69607,       0.60769,       0.80794,       0.63789,       0.80422,       0.71796
(254, 385),     0.88419,       0.7976,       0.51182,       0.76501,       0.52487,       0.81965,       0.71719
(23, 246),     0.94229,       0.79123,       0.54777,       0.77206,       0.5511,       0.69464,       0.71651
(339, 387),     0.87305,       0.77832,       0.52555,       0.77146,       0.50574,       0.83952,       0.71561
(159, 163),     0.74063,       0.77463,       0.57918,       0.76642,       0.57307,       0.85432,       0.71471
(7, 161),     0.80385,       0.77609,       0.53471,       0.77303,       0.55741,       0.8379,       0.71383
(388, 390),     0.85097,       0.77572,       0.53885,       0.78125,       0.52615,       0.80443,       0.71289
(22, 30),     0.82296,       0.80942,       0.5316,       0.80655,       0.58944,       0.71671,       0.71278
(56, 153),     0.75067,       0.80331,       0.5575,       0.77338,       0.64238,       0.74697,       0.71237
(414, 463),     0.85176,       0.76059,       0.63126,       0.75403,       0.50875,       0.76643,       0.71214
(160, 173),     0.85441,       0.80996,       0.61928,       0.73645,       0.5445,       0.70614,       0.71179
(24, 157),     0.78594,       0.78456,       0.57058,       0.75726,       0.58748,       0.78381,       0.71161
(27, 190),     0.77461,       0.75461,       0.57771,       0.75606,       0.59875,       0.80218,       0.71065
(28, 145),     0.67233,       0.75372,       0.58814,       0.79364,       0.6549,       0.79953,       0.71038
(382, 398),     0.82436,       0.75644,       0.48805,       0.77037,       0.57234,       0.84509,       0.70944
(26, 30),     0.85413,       0.82412,       0.52256,       0.79386,       0.56046,       0.69941,       0.70909
(252, 257),     0.68492,       0.75289,       0.73308,       0.79471,       0.5567,       0.73189,       0.70903
(30, 154),     0.83285,       0.83419,       0.51375,       0.78215,       0.56588,       0.72033,       0.70819
(254, 466),     0.86734,       0.7536,       0.56359,       0.79218,       0.53429,       0.73729,       0.70805
(154, 161),     0.87202,       0.84481,       0.58392,       0.75615,       0.5331,       0.65599,       0.70766
(30, 153),     0.80728,       0.82868,       0.50715,       0.79226,       0.56943,       0.73231,       0.70618
(257, 463),     0.75538,       0.73672,       0.7407,       0.75061,       0.56456,       0.68905,       0.70617
(373, 386),     0.79364,       0.78215,       0.5309,       0.76634,       0.53498,       0.8277,       0.70595
(28, 190),     0.75427,       0.71401,       0.58776,       0.76233,       0.60263,       0.81131,       0.70539
(24, 29),     0.65455,       0.6984,       0.583,       0.83649,       0.66017,       0.79855,       0.70519
(24, 27),     0.60304,       0.684,       0.61286,       0.83469,       0.67681,       0.81792,       0.70489
(30, 155),     0.83182,       0.80917,       0.54398,       0.74982,       0.56784,       0.7216,       0.70404
(145, 157),     0.76219,       0.81618,       0.51174,       0.76978,       0.58206,       0.78215,       0.70402
(258, 414),     0.74981,       0.74203,       0.75021,       0.72854,       0.57319,       0.67785,       0.7036
(253, 384),     0.87162,       0.81462,       0.4904,       0.75265,       0.54158,       0.74503,       0.70265
(256, 259),     0.65989,       0.70518,       0.76059,       0.78375,       0.59303,       0.70832,       0.70179
(23, 30),     0.77636,       0.77494,       0.52937,       0.80538,       0.60501,       0.71885,       0.70165
(112, 161),     0.9106,       0.80808,       0.57316,       0.75324,       0.50321,       0.65766,       0.70099
(259, 380),     0.64012,       0.72063,       0.75513,       0.77723,       0.57802,       0.72928,       0.70007
(249, 466),     0.8423,       0.7678,       0.5116,       0.77617,       0.5149,       0.78594,       0.69978
