Comparing the following files: 
krithika_front_s3_v1/groups,  krithika_low_s3_v1/groups,  krithika_threequarter_s3_v1/groups,  

Correlation cuttoff is 0.8
landmark(s),  krithika_front_s3_v1groups_vs_krithika_low_s3_v1groups,  krithika_front_s3_v1groups_vs_krithika_threequarter_s3_v1groups,  krithika_low_s3_v1groups_vs_krithika_threequarter_s3_v1groups,  average
(269, 321),     0.86526,       0.94322,       0.81438,       0.87429
(267, 321),     0.86703,       0.93724,       0.8182,       0.87416
(270, 375),     0.8741,       0.92984,       0.81658,       0.87351
(375, 409),     0.87794,       0.92681,       0.81243,       0.87239
(267, 405),     0.85781,       0.94275,       0.81405,       0.87154
(146, 185),     0.87223,       0.93472,       0.80742,       0.87146
(270, 321),     0.86596,       0.93988,       0.8084,       0.87141
(375, 415),     0.86639,       0.9468,       0.80019,       0.87113
(0, 405),     0.85687,       0.94486,       0.81021,       0.87065
(40, 91),     0.86545,       0.94047,       0.80507,       0.87033
(39, 91),     0.86109,       0.94052,       0.80183,       0.86781
(37, 405),     0.8545,       0.941,       0.80765,       0.86772
(267, 318),     0.86801,       0.93499,       0.79999,       0.86766
(98, 405),     0.85017,       0.93053,       0.82092,       0.86721
(37, 314),     0.85069,       0.94108,       0.80972,       0.86716
(269, 375),     0.86553,       0.92504,       0.80935,       0.86664
(98, 321),     0.85508,       0.92538,       0.81925,       0.86657
(0, 314),     0.85124,       0.94273,       0.80499,       0.86632
(40, 88),     0.86364,       0.94446,       0.79062,       0.86624
(0, 321),     0.86355,       0.93139,       0.80376,       0.86623
(37, 402),     0.86089,       0.94197,       0.79484,       0.8659
(269, 405),     0.85451,       0.94111,       0.80201,       0.86588
(40, 95),     0.86475,       0.93788,       0.79411,       0.86558
(39, 181),     0.8554,       0.94015,       0.80107,       0.86554
(0, 402),     0.86032,       0.94505,       0.79117,       0.86551
(37, 317),     0.85818,       0.94678,       0.79136,       0.86544
(78, 185),     0.85211,       0.92742,       0.81623,       0.86525
(267, 402),     0.86162,       0.94262,       0.79061,       0.86495
(37, 181),     0.85356,       0.93835,       0.80101,       0.86431
(40, 146),     0.85998,       0.93612,       0.79659,       0.86423
(267, 314),     0.85043,       0.93823,       0.80374,       0.86413
(37, 91),     0.85731,       0.93627,       0.79857,       0.86405
(17, 37),     0.84854,       0.93819,       0.80499,       0.86391
(95, 185),     0.86322,       0.94573,       0.7825,       0.86382
(37, 84),     0.85,       0.9376,       0.80329,       0.86363
(310, 321),     0.85777,       0.95044,       0.78199,       0.8634
(269, 318),     0.86347,       0.93769,       0.78863,       0.86326
(310, 375),     0.85881,       0.94454,       0.78622,       0.86319
(39, 84),     0.84971,       0.93838,       0.80006,       0.86272
(14, 39),     0.85808,       0.94487,       0.78473,       0.86256
(14, 37),     0.85669,       0.94456,       0.78465,       0.86197
(311, 321),     0.85371,       0.95257,       0.77958,       0.86195
(62, 185),     0.85166,       0.91658,       0.81672,       0.86165
(0, 17),     0.84827,       0.93954,       0.79713,       0.86165
(39, 87),     0.85779,       0.94544,       0.78124,       0.86149
(39, 88),     0.86048,       0.93918,       0.78472,       0.86146
(40, 181),     0.85345,       0.93638,       0.79439,       0.86141
(0, 317),     0.85611,       0.9462,       0.78188,       0.8614
(98, 318),     0.86944,       0.91113,       0.80339,       0.86132
(98, 402),     0.86535,       0.92061,       0.79627,       0.86074
(39, 178),     0.85747,       0.94369,       0.78068,       0.86061
(40, 178),     0.86025,       0.94322,       0.77784,       0.86044
(39, 317),     0.85748,       0.94131,       0.78243,       0.86041
(17, 39),     0.84674,       0.93745,       0.79697,       0.86039
(0, 318),     0.86402,       0.92847,       0.78858,       0.86036
(0, 84),     0.84877,       0.93859,       0.79351,       0.86029
(0, 181),     0.85069,       0.93886,       0.79004,       0.85986
(37, 87),     0.85573,       0.94317,       0.77857,       0.85916
(39, 314),     0.84721,       0.93728,       0.79273,       0.85907
(267, 317),     0.85702,       0.94205,       0.77815,       0.85907
(270, 318),     0.86498,       0.93317,       0.77897,       0.85904
(17, 267),     0.84657,       0.9347,       0.79408,       0.85845
(39, 95),     0.86028,       0.93011,       0.78387,       0.85809
(0, 91),     0.85227,       0.93561,       0.78591,       0.85793
(37, 178),     0.85632,       0.93994,       0.77693,       0.85773
(270, 324),     0.86655,       0.92054,       0.78564,       0.85758
(37, 88),     0.85985,       0.93245,       0.78032,       0.85754
(269, 402),     0.85768,       0.9394,       0.77518,       0.85742
(13, 405),     0.84713,       0.95037,       0.7746,       0.85737
(312, 321),     0.85008,       0.94565,       0.77619,       0.85731
(0, 14),     0.85398,       0.94354,       0.7733,       0.85694
(270, 405),     0.84976,       0.93137,       0.7887,       0.85661
(84, 267),     0.84645,       0.9335,       0.78958,       0.85651
(39, 146),     0.85121,       0.93201,       0.7854,       0.85621
(312, 405),     0.84682,       0.95137,       0.76979,       0.85599
(37, 321),     0.85794,       0.92075,       0.78862,       0.85577
(181, 267),     0.8473,       0.93383,       0.78581,       0.85565
(267, 375),     0.86066,       0.90764,       0.79844,       0.85558
(269, 324),     0.86195,       0.91724,       0.78743,       0.85554
(269, 314),     0.84548,       0.93344,       0.78748,       0.85547
(311, 405),     0.84914,       0.9482,       0.76667,       0.85467
(82, 314),     0.84711,       0.94565,       0.77105,       0.8546
(14, 267),     0.85425,       0.93902,       0.76959,       0.85429
(0, 87),     0.85278,       0.94177,       0.76742,       0.85399
(91, 185),     0.85682,       0.9256,       0.77875,       0.85372
(270, 402),     0.86346,       0.93026,       0.76742,       0.85371
(321, 415),     0.84811,       0.93133,       0.78044,       0.85329
(82, 405),     0.84862,       0.93982,       0.7714,       0.85328
(80, 91),     0.8608,       0.93768,       0.76105,       0.85318
(321, 327),     0.84825,       0.91956,       0.79166,       0.85316
(327, 375),     0.85086,       0.90555,       0.8023,       0.8529
(91, 267),     0.84693,       0.92969,       0.78157,       0.85273
(269, 317),     0.85598,       0.93701,       0.76509,       0.85269
(0, 178),     0.85329,       0.93732,       0.76608,       0.85223
(81, 314),     0.851,       0.93309,       0.77241,       0.85217
(13, 314),     0.84495,       0.94703,       0.7643,       0.85209
(37, 318),     0.86073,       0.91692,       0.77815,       0.85193
(87, 267),     0.85259,       0.9366,       0.76498,       0.85139
(40, 84),     0.84116,       0.92979,       0.78298,       0.85131
(98, 314),     0.83814,       0.91762,       0.79814,       0.8513
(37, 95),     0.85757,       0.91792,       0.77792,       0.85114
(17, 81),     0.84937,       0.93641,       0.76676,       0.85085
(324, 415),     0.87406,       0.92294,       0.75534,       0.85078
(0, 88),     0.85589,       0.92788,       0.76848,       0.85075
(76, 185),     0.84068,       0.91277,       0.79831,       0.85059
(80, 181),     0.8575,       0.93177,       0.7623,       0.85052
(146, 191),     0.86037,       0.93216,       0.75896,       0.8505
(310, 405),     0.84982,       0.93572,       0.76548,       0.85034
(91, 191),     0.86321,       0.92298,       0.76471,       0.8503
(321, 409),     0.84843,       0.92031,       0.78022,       0.84965
(81, 84),     0.85025,       0.93775,       0.76069,       0.84956
(40, 78),     0.84033,       0.91858,       0.78916,       0.84936
(66, 402),     0.83172,       0.91078,       0.80517,       0.84922
(40, 87),     0.85559,       0.9292,       0.76243,       0.84907
(178, 267),     0.8521,       0.93086,       0.76417,       0.84904
(310, 324),     0.8621,       0.92618,       0.75852,       0.84893
(37, 146),     0.8448,       0.9217,       0.78025,       0.84892
(17, 269),     0.84073,       0.92873,       0.77719,       0.84888
(311, 375),     0.8486,       0.92967,       0.76827,       0.84885
(17, 82),     0.84565,       0.94185,       0.75889,       0.8488
(98, 317),     0.85476,       0.91849,       0.77283,       0.84869
(267, 324),     0.85975,       0.90148,       0.78384,       0.84836
(81, 181),     0.85054,       0.93986,       0.75398,       0.84813
