Comparing the following files: 
krithika_front_s6_v1/groups,  krithika_low_s6_v1/groups,  krithika_threequarter_s6_v1/groups,  

Correlation cuttoff is 0.8
landmark(s),  krithika_front_s6_v1groups_vs_krithika_low_s6_v1groups,  krithika_front_s6_v1groups_vs_krithika_threequarter_s6_v1groups,  krithika_low_s6_v1groups_vs_krithika_threequarter_s6_v1groups,  average
(52, 314),     0.84634,       0.89222,       0.74306,       0.82721
(52, 405),     0.83991,       0.89732,       0.74401,       0.82708
(14, 52),     0.86337,       0.9037,       0.71335,       0.82681
(55, 193),     0.81272,       0.8843,       0.78221,       0.82641
(52, 317),     0.85909,       0.90595,       0.70565,       0.82356
(52, 87),     0.85981,       0.90342,       0.70657,       0.82327
(14, 105),     0.85501,       0.90302,       0.70961,       0.82255
(14, 65),     0.86975,       0.89635,       0.69955,       0.82188
(65, 405),     0.85177,       0.89047,       0.72144,       0.82123
(65, 314),     0.858,       0.88203,       0.72306,       0.82103
(14, 53),     0.84791,       0.89969,       0.71427,       0.82062
(105, 405),     0.82629,       0.89368,       0.74098,       0.82032
(105, 314),     0.83277,       0.89069,       0.73597,       0.81981
(105, 317),     0.85031,       0.90466,       0.70419,       0.81972
(14, 66),     0.86173,       0.89601,       0.70115,       0.81963
(17, 52),     0.8458,       0.88362,       0.72891,       0.81944
(87, 105),     0.85229,       0.90251,       0.7028,       0.8192
(65, 87),     0.86624,       0.89732,       0.69357,       0.81904
(65, 317),     0.86636,       0.89824,       0.69048,       0.81836
(66, 405),     0.84051,       0.88843,       0.72568,       0.81821
(52, 84),     0.84507,       0.88608,       0.72235,       0.81783
(66, 314),     0.84571,       0.88222,       0.72369,       0.81721
(66, 87),     0.85935,       0.89749,       0.69468,       0.81717
(66, 317),     0.85917,       0.89726,       0.69481,       0.81708
(52, 178),     0.84709,       0.90519,       0.69799,       0.81676
(53, 317),     0.8411,       0.90266,       0.70598,       0.81658
(53, 87),     0.84402,       0.89877,       0.70611,       0.8163
(107, 193),     0.79859,       0.8271,       0.82247,       0.81605
(53, 405),     0.81126,       0.88874,       0.74803,       0.81601
(53, 314),     0.81829,       0.88479,       0.74421,       0.81576
(17, 65),     0.85788,       0.87456,       0.71362,       0.81535
(14, 63),     0.8402,       0.89645,       0.70836,       0.815
(52, 402),     0.84561,       0.9048,       0.69457,       0.81499
(65, 84),     0.85713,       0.87864,       0.70895,       0.81491
(52, 181),     0.82741,       0.89576,       0.71812,       0.81376
(65, 178),     0.85399,       0.90079,       0.68553,       0.81344
(105, 178),     0.84055,       0.90403,       0.69557,       0.81338
(66, 178),     0.84879,       0.90111,       0.68772,       0.81254
(17, 105),     0.83275,       0.88322,       0.72082,       0.81226
(105, 402),     0.83767,       0.90206,       0.69683,       0.81219
(65, 181),     0.83874,       0.89206,       0.7051,       0.81197
(66, 84),     0.84583,       0.88062,       0.709,       0.81182
(66, 402),     0.85049,       0.89792,       0.68626,       0.81156
(17, 66),     0.84527,       0.8761,       0.71305,       0.81147
(65, 402),     0.85588,       0.89959,       0.67839,       0.81129
(65, 321),     0.82694,       0.8901,       0.71675,       0.81126
(63, 317),     0.83123,       0.89933,       0.70297,       0.81118
(84, 105),     0.83231,       0.88554,       0.71528,       0.81104
(66, 321),     0.81881,       0.88701,       0.7255,       0.81044
(66, 181),     0.83129,       0.89276,       0.70668,       0.81024
(63, 87),     0.83746,       0.89378,       0.69935,       0.8102
(52, 321),     0.8105,       0.88313,       0.73671,       0.81011
(107, 417),     0.79598,       0.82292,       0.81086,       0.80992
(14, 107),     0.86628,       0.87386,       0.68477,       0.8083
(105, 181),     0.81661,       0.89396,       0.71338,       0.80798
(53, 178),     0.82951,       0.89956,       0.69449,       0.80785
(52, 88),     0.82043,       0.90615,       0.69588,       0.80749
(63, 405),     0.79591,       0.88331,       0.74264,       0.80729
(63, 314),     0.80431,       0.88184,       0.73426,       0.8068
(87, 107),     0.8638,       0.87818,       0.67812,       0.8067
(66, 88),     0.82659,       0.90437,       0.68761,       0.80619
(65, 88),     0.83019,       0.90458,       0.68292,       0.8059
(66, 193),     0.79138,       0.82133,       0.80435,       0.80569
(105, 321),     0.80014,       0.87709,       0.73979,       0.80567
(53, 402),     0.82168,       0.90041,       0.69457,       0.80555
(17, 53),     0.81752,       0.87413,       0.72385,       0.80517
(88, 105),     0.81483,       0.90391,       0.69614,       0.80496
(17, 269),     0.84516,       0.85898,       0.70917,       0.80444
(107, 317),     0.86408,       0.87286,       0.67587,       0.80427
(14, 55),     0.8606,       0.87948,       0.67165,       0.80391
(17, 270),     0.85673,       0.84479,       0.70917,       0.80356
(84, 270),     0.84314,       0.85587,       0.70973,       0.80291
(84, 269),     0.83019,       0.87428,       0.70374,       0.80274
(66, 318),     0.83264,       0.89268,       0.68189,       0.8024
(107, 314),     0.85307,       0.85216,       0.7004,       0.80188
(107, 178),     0.85286,       0.88352,       0.66891,       0.80176
(63, 178),     0.82399,       0.89242,       0.68817,       0.80153
(53, 84),     0.81586,       0.87528,       0.71238,       0.80117
(107, 405),     0.84764,       0.85811,       0.69759,       0.80111
(55, 87),     0.85587,       0.88198,       0.66504,       0.80096
(63, 402),     0.81077,       0.89468,       0.69529,       0.80025
