Comparing the following files: 
kelly_front_s28_v2/,  kelly_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s28_v2_vs_kelly_front_s27_v2,  average
(255, 327),     -0.57393,       -0.57393
(61, 246),     -0.5722,       -0.5722
(76, 246),     -0.56904,       -0.56904
(62, 246),     -0.5623,       -0.5623
(61, 161),     -0.56026,       -0.56026
(327, 359),     -0.55786,       -0.55786
(76, 161),     -0.55598,       -0.55598
(78, 246),     -0.55506,       -0.55506
(62, 161),     -0.54921,       -0.54921
(78, 161),     -0.542,       -0.542
(249, 327),     -0.53644,       -0.53644
(327, 467),     -0.50669,       -0.50669
(327, 339),     -0.49483,       -0.49483
(263, 327),     -0.49302,       -0.49302
(61, 160),     -0.49265,       -0.49265
(76, 160),     -0.48905,       -0.48905
(62, 160),     -0.48408,       -0.48408
(61, 158),     -0.47918,       -0.47918
(78, 160),     -0.47828,       -0.47828
(76, 158),     -0.47249,       -0.47249
(265, 327),     -0.47104,       -0.47104
(62, 158),     -0.46213,       -0.46213
(327, 353),     -0.46061,       -0.46061
(327, 390),     -0.46038,       -0.46038
(61, 159),     -0.45427,       -0.45427
(78, 158),     -0.45165,       -0.45165
(76, 159),     -0.44986,       -0.44986
(27, 285),     -0.44453,       -0.44453
(62, 159),     -0.44406,       -0.44406
(61, 76),     -0.44159,       -0.44159
(33, 62),     -0.44142,       -0.44142
(33, 76),     -0.44088,       -0.44088
(78, 159),     -0.43789,       -0.43789
(76, 263),     -0.43737,       -0.43737
(33, 61),     -0.43648,       -0.43648
(33, 78),     -0.43642,       -0.43642
(61, 263),     -0.43046,       -0.43046
(62, 263),     -0.42943,       -0.42943
(260, 327),     -0.4291,       -0.4291
(76, 359),     -0.42386,       -0.42386
(61, 157),     -0.42328,       -0.42328
(76, 157),     -0.42237,       -0.42237
(61, 359),     -0.41907,       -0.41907
(78, 263),     -0.41756,       -0.41756
(62, 359),     -0.41399,       -0.41399
(327, 383),     -0.41269,       -0.41269
(62, 157),     -0.40931,       -0.40931
(61, 62),     -0.40331,       -0.40331
(78, 359),     -0.40198,       -0.40198
(57, 246),     -0.39851,       -0.39851
(46, 70),     -0.39256,       -0.39256
(29, 285),     -0.39093,       -0.39093
(78, 157),     -0.39088,       -0.39088
(98, 249),     -0.38613,       -0.38613
(98, 390),     -0.38611,       -0.38611
