Comparing the following files: 
hadleigh_front_s1_v2/,  hadleigh_low_s1_v2/,  hadleigh_right_threequarter_s1_v2/,  hadleigh_left_threequarter_s1_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s1_v2_vs_hadleigh_low_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_right_threequarter_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  average
(55, 161),     0.7383,       0.68908,       0.6414,       0.75688,       0.57494,       0.53386,       0.65574
(55, 246),     0.73056,       0.69775,       0.62718,       0.74705,       0.54869,       0.52839,       0.6466
(110, 285),     0.72734,       0.79904,       0.60335,       0.75045,       0.45059,       0.53533,       0.64435
(55, 160),     0.72118,       0.6392,       0.65034,       0.7486,       0.57595,       0.51121,       0.64108
(25, 285),     0.76602,       0.77171,       0.5657,       0.79517,       0.43157,       0.5024,       0.63876
(161, 336),     0.73467,       0.72976,       0.59297,       0.81223,       0.46903,       0.49076,       0.63824
(160, 336),     0.71154,       0.71665,       0.60297,       0.81538,       0.47686,       0.49091,       0.63572
(246, 336),     0.73166,       0.73606,       0.5735,       0.81248,       0.44385,       0.4869,       0.63074
(25, 55),     0.63392,       0.68489,       0.65083,       0.7059,       0.5151,       0.54682,       0.62291
(24, 285),     0.66014,       0.80502,       0.62478,       0.67985,       0.41608,       0.55133,       0.62287
(33, 336),     0.71375,       0.74483,       0.55368,       0.80789,       0.4186,       0.47619,       0.61916
(25, 336),     0.64081,       0.75843,       0.59628,       0.77942,       0.40633,       0.53003,       0.61855
(33, 55),     0.69892,       0.68312,       0.61273,       0.69642,       0.51929,       0.49255,       0.61717
(7, 285),     0.7404,       0.77038,       0.52337,       0.76184,       0.43129,       0.46716,       0.61574
(159, 336),     0.65907,       0.72029,       0.5861,       0.81796,       0.43159,       0.47825,       0.61554
(56, 246),     0.7674,       0.72781,       0.53346,       0.7288,       0.52208,       0.39877,       0.61305
