Comparing the following files: 
kelly_front_s2_v2/,  hadleigh_front_s2_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s2_v2_vs_hadleigh_front_s2_v2,  average
(28, 30),     -0.52991,       -0.52991
(28, 29),     -0.50907,       -0.50907
(144, 247),     -0.5069,       -0.5069
(27, 28),     -0.50422,       -0.50422
(161, 190),     -0.49868,       -0.49868
(155, 246),     -0.48939,       -0.48939
(30, 145),     -0.48838,       -0.48838
(163, 247),     -0.47873,       -0.47873
(30, 144),     -0.4776,       -0.4776
(160, 190),     -0.47655,       -0.47655
(243, 246),     -0.46607,       -0.46607
(145, 247),     -0.4644,       -0.4644
(33, 155),     -0.464,       -0.464
(163, 246),     -0.45839,       -0.45839
(190, 246),     -0.45798,       -0.45798
(161, 243),     -0.45631,       -0.45631
(25, 110),     -0.45606,       -0.45606
(154, 246),     -0.4556,       -0.4556
(173, 246),     -0.45533,       -0.45533
(133, 246),     -0.45512,       -0.45512
(161, 173),     -0.44863,       -0.44863
(155, 161),     -0.44826,       -0.44826
(112, 246),     -0.44783,       -0.44783
(260, 374),     -0.44219,       -0.44219
(7, 246),     -0.44031,       -0.44031
(30, 153),     -0.43846,       -0.43846
(144, 246),     -0.43495,       -0.43495
(56, 247),     -0.43072,       -0.43072
(112, 161),     -0.42961,       -0.42961
(33, 133),     -0.4267,       -0.4267
(130, 155),     -0.42589,       -0.42589
(282, 374),     -0.42575,       -0.42575
(133, 161),     -0.42371,       -0.42371
(154, 161),     -0.42283,       -0.42283
(282, 380),     -0.42005,       -0.42005
(282, 381),     -0.41872,       -0.41872
(161, 163),     -0.41763,       -0.41763
(259, 374),     -0.41695,       -0.41695
(374, 467),     -0.41613,       -0.41613
(30, 163),     -0.4161,       -0.4161
(159, 190),     -0.41307,       -0.41307
(260, 380),     -0.41121,       -0.41121
(29, 145),     -0.41046,       -0.41046
(28, 247),     -0.41023,       -0.41023
(260, 373),     -0.41017,       -0.41017
(155, 247),     -0.40981,       -0.40981
(144, 161),     -0.40895,       -0.40895
(153, 247),     -0.40773,       -0.40773
(26, 246),     -0.40618,       -0.40618
(29, 144),     -0.4053,       -0.4053
(7, 155),     -0.40523,       -0.40523
(259, 380),     -0.40439,       -0.40439
(373, 467),     -0.40265,       -0.40265
(33, 154),     -0.40168,       -0.40168
(130, 133),     -0.4012,       -0.4012
