Comparing the following files: 
kelly_front_s3_v2/,  kelly_low_s3_v2/,  kelly_right_threequarter_s3_v2/,  kelly_left_threequarter_s3_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s3_v2_vs_kelly_low_s3_v2,  kelly_front_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_front_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_right_threequarter_s3_v2_vs_kelly_left_threequarter_s3_v2,  average
(112, 157),     0.96711,       0.76474,       0.59384,       0.80622,       0.62968,       0.87882,       0.7734
(26, 157),     0.95512,       0.77219,       0.58072,       0.81619,       0.63609,       0.86625,       0.77109
(22, 158),     0.95952,       0.76627,       0.59051,       0.79201,       0.61629,       0.88416,       0.76813
(22, 159),     0.96698,       0.76943,       0.59004,       0.78633,       0.60501,       0.88507,       0.76714
(26, 56),     0.82641,       0.77095,       0.62744,       0.85822,       0.69985,       0.81697,       0.76664
(22, 160),     0.96555,       0.79228,       0.59001,       0.79262,       0.59429,       0.86449,       0.76654
(133, 157),     0.92762,       0.78395,       0.6146,       0.79355,       0.60664,       0.87031,       0.76611
(26, 158),     0.96577,       0.76221,       0.5855,       0.78778,       0.60783,       0.88296,       0.76534
(153, 160),     0.93519,       0.82284,       0.59254,       0.801,       0.59254,       0.84644,       0.76509
(23, 158),     0.94138,       0.76913,       0.59083,       0.792,       0.61511,       0.88048,       0.76482
(26, 159),     0.96552,       0.77488,       0.58917,       0.78537,       0.59564,       0.87355,       0.76402
(155, 157),     0.90062,       0.77448,       0.59544,       0.80364,       0.6278,       0.88067,       0.76377
(56, 112),     0.83293,       0.7372,       0.64812,       0.83972,       0.6857,       0.83799,       0.76361
(26, 28),     0.80872,       0.75137,       0.6257,       0.86069,       0.69392,       0.83938,       0.7633
(23, 159),     0.96124,       0.7628,       0.58105,       0.78492,       0.60239,       0.88587,       0.76304
(23, 160),     0.96634,       0.77744,       0.57661,       0.78851,       0.59522,       0.87379,       0.76299
(22, 157),     0.92209,       0.79409,       0.58019,       0.81647,       0.62696,       0.83814,       0.76299
(133, 173),     0.92685,       0.7598,       0.587,       0.79268,       0.64021,       0.87088,       0.7629
(145, 160),     0.94741,       0.80239,       0.58046,       0.79152,       0.58636,       0.86555,       0.76228
(112, 158),     0.96387,       0.76637,       0.59387,       0.78042,       0.59205,       0.87149,       0.76134
