Comparing the following files: 
kelly_front_s28_v2/,  kelly_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s28_v2_vs_kelly_front_s27_v2,  average
(27, 285),     -0.44453,       -0.44453
(46, 70),     -0.39256,       -0.39256
(29, 285),     -0.39093,       -0.39093
(30, 70),     -0.36186,       -0.36186
(25, 156),     -0.35022,       -0.35022
(252, 382),     -0.34958,       -0.34958
(53, 70),     -0.34725,       -0.34725
(124, 247),     -0.31847,       -0.31847
(29, 70),     -0.31493,       -0.31493
(30, 46),     -0.31264,       -0.31264
(7, 334),     -0.31,       -0.31
(130, 156),     -0.30915,       -0.30915
(249, 283),     -0.30842,       -0.30842
(7, 293),     -0.30733,       -0.30733
(7, 283),     -0.30625,       -0.30625
(25, 124),     -0.30616,       -0.30616
(24, 155),     -0.30437,       -0.30437
(7, 282),     -0.30221,       -0.30221
(52, 63),     -0.30218,       -0.30218
(7, 156),     -0.30216,       -0.30216
(263, 295),     -0.29911,       -0.29911
(35, 156),     -0.29495,       -0.29495
(249, 255),     -0.2937,       -0.2937
(249, 293),     -0.29088,       -0.29088
(23, 155),     -0.29043,       -0.29043
(255, 276),     -0.28955,       -0.28955
(249, 296),     -0.28585,       -0.28585
(28, 65),     -0.28575,       -0.28575
(282, 293),     -0.28491,       -0.28491
(33, 334),     -0.28361,       -0.28361
(263, 282),     -0.28141,       -0.28141
(249, 282),     -0.28076,       -0.28076
(249, 276),     -0.27884,       -0.27884
(295, 384),     -0.27857,       -0.27857
(7, 124),     -0.27732,       -0.27732
(249, 334),     -0.27688,       -0.27688
(249, 295),     -0.2761,       -0.2761
(295, 466),     -0.27583,       -0.27583
(23, 154),     -0.27562,       -0.27562
(249, 336),     -0.2756,       -0.2756
(29, 53),     -0.27507,       -0.27507
(24, 26),     -0.27506,       -0.27506
(33, 282),     -0.27415,       -0.27415
(253, 382),     -0.27399,       -0.27399
(263, 336),     -0.27088,       -0.27088
(30, 285),     -0.27049,       -0.27049
(263, 296),     -0.27041,       -0.27041
(23, 26),     -0.27038,       -0.27038
(70, 173),     -0.26858,       -0.26858
(70, 247),     -0.26854,       -0.26854
(255, 300),     -0.26838,       -0.26838
(22, 154),     -0.26836,       -0.26836
(29, 63),     -0.26745,       -0.26745
(33, 296),     -0.26713,       -0.26713
(7, 276),     -0.26536,       -0.26536
(7, 70),     -0.26404,       -0.26404
(7, 300),     -0.26397,       -0.26397
(33, 293),     -0.26394,       -0.26394
(25, 70),     -0.2621,       -0.2621
(24, 112),     -0.26139,       -0.26139
(252, 381),     -0.26082,       -0.26082
(22, 23),     -0.26014,       -0.26014
(336, 466),     -0.2592,       -0.2592
(259, 263),     -0.25902,       -0.25902
(296, 336),     -0.25849,       -0.25849
(156, 247),     -0.25669,       -0.25669
(285, 398),     -0.25612,       -0.25612
(253, 381),     -0.25607,       -0.25607
(300, 384),     -0.256,       -0.256
(33, 156),     -0.25517,       -0.25517
(286, 417),     -0.25466,       -0.25466
(110, 156),     -0.25365,       -0.25365
(246, 282),     -0.25336,       -0.25336
(30, 53),     -0.25288,       -0.25288
(33, 283),     -0.25287,       -0.25287
(263, 334),     -0.25058,       -0.25058
(255, 283),     -0.25007,       -0.25007
(28, 66),     -0.25002,       -0.25002
(249, 300),     -0.24991,       -0.24991
(7, 296),     -0.24953,       -0.24953
(63, 65),     -0.24953,       -0.24953
(25, 283),     -0.2488,       -0.2488
(336, 384),     -0.24831,       -0.24831
(156, 157),     -0.24696,       -0.24696
(255, 336),     -0.24661,       -0.24661
(159, 276),     -0.24623,       -0.24623
(260, 263),     -0.2451,       -0.2451
(282, 384),     -0.24383,       -0.24383
(255, 296),     -0.24266,       -0.24266
(246, 334),     -0.24182,       -0.24182
(285, 466),     -0.24108,       -0.24108
(255, 293),     -0.2403,       -0.2403
(29, 46),     -0.24023,       -0.24023
(24, 154),     -0.24017,       -0.24017
(159, 300),     -0.24002,       -0.24002
(257, 263),     -0.23966,       -0.23966
(246, 293),     -0.2391,       -0.2391
(246, 336),     -0.2388,       -0.2388
(246, 283),     -0.23838,       -0.23838
(22, 155),     -0.2377,       -0.2377
(30, 63),     -0.23757,       -0.23757
(25, 276),     -0.23727,       -0.23727
(249, 285),     -0.23651,       -0.23651
(24, 243),     -0.23646,       -0.23646
(300, 359),     -0.23593,       -0.23593
(161, 282),     -0.23578,       -0.23578
(70, 110),     -0.2352,       -0.2352
(27, 52),     -0.23416,       -0.23416
(25, 293),     -0.2338,       -0.2338
(246, 296),     -0.23346,       -0.23346
(161, 283),     -0.23227,       -0.23227
(160, 300),     -0.23174,       -0.23174
(158, 276),     -0.23162,       -0.23162
(246, 295),     -0.23154,       -0.23154
(33, 300),     -0.23154,       -0.23154
(124, 130),     -0.23153,       -0.23153
(160, 276),     -0.23151,       -0.23151
(263, 285),     -0.23102,       -0.23102
(33, 295),     -0.22893,       -0.22893
(33, 65),     -0.22861,       -0.22861
(161, 300),     -0.2285,       -0.2285
(65, 173),     -0.22843,       -0.22843
