Comparing the following files: 
hadleigh_front_s28_v2/,  hadleigh_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  hadleigh_front_s28_v2_vs_hadleigh_front_s27_v2,  average
(300, 466),     -0.6799,       -0.6799
(259, 293),     -0.66818,       -0.66818
(263, 300),     -0.66601,       -0.66601
(300, 388),     -0.66539,       -0.66539
(257, 293),     -0.66445,       -0.66445
(276, 388),     -0.64913,       -0.64913
(300, 359),     -0.6486,       -0.6486
(276, 466),     -0.64667,       -0.64667
(293, 386),     -0.64444,       -0.64444
(293, 387),     -0.64202,       -0.64202
(300, 387),     -0.64179,       -0.64179
(276, 387),     -0.64153,       -0.64153
(260, 293),     -0.63943,       -0.63943
(300, 467),     -0.6344,       -0.6344
(276, 467),     -0.63377,       -0.63377
(33, 130),     -0.63197,       -0.63197
(293, 385),     -0.6311,       -0.6311
(260, 276),     -0.62833,       -0.62833
(293, 388),     -0.62619,       -0.62619
(283, 386),     -0.62487,       -0.62487
(385, 414),     -0.62292,       -0.62292
(283, 387),     -0.62082,       -0.62082
(466, 467),     -0.61811,       -0.61811
(276, 386),     -0.61281,       -0.61281
(283, 385),     -0.60967,       -0.60967
(300, 386),     -0.60906,       -0.60906
(257, 283),     -0.60875,       -0.60875
(283, 388),     -0.60286,       -0.60286
(293, 466),     -0.59795,       -0.59795
(258, 293),     -0.59753,       -0.59753
(263, 276),     -0.59286,       -0.59286
(386, 414),     -0.59168,       -0.59168
(260, 387),     -0.58094,       -0.58094
(353, 359),     -0.57997,       -0.57997
(282, 385),     -0.57898,       -0.57898
(300, 385),     -0.57444,       -0.57444
(283, 466),     -0.57278,       -0.57278
(388, 467),     -0.57063,       -0.57063
(293, 384),     -0.56874,       -0.56874
(387, 414),     -0.56555,       -0.56555
(282, 386),     -0.56518,       -0.56518
(359, 414),     -0.56467,       -0.56467
(25, 144),     -0.56003,       -0.56003
(276, 385),     -0.55777,       -0.55777
(260, 388),     -0.55686,       -0.55686
(259, 283),     -0.55597,       -0.55597
(173, 254),     -0.55524,       -0.55524
(259, 387),     -0.55095,       -0.55095
(259, 386),     -0.54795,       -0.54795
(283, 384),     -0.54404,       -0.54404
(293, 467),     -0.54327,       -0.54327
(124, 160),     -0.54164,       -0.54164
(334, 385),     -0.54044,       -0.54044
(70, 160),     -0.53969,       -0.53969
(70, 159),     -0.53916,       -0.53916
(282, 384),     -0.53908,       -0.53908
(124, 161),     -0.53905,       -0.53905
(157, 293),     -0.53898,       -0.53898
