Comparing the following files: 
hadleigh_front_s1_v2/,  hadleigh_low_s1_v2/,  hadleigh_right_threequarter_s1_v2/,  hadleigh_left_threequarter_s1_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s1_v2_vs_hadleigh_low_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_right_threequarter_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  average
(375, 409),     0.56333,       0.91236,       0.57595,       0.81548,       0.75985,       0.72572,       0.72545
(81, 181),     0.55308,       0.90375,       0.6522,       0.81937,       0.67839,       0.72532,       0.72202
(270, 321),     0.52392,       0.89935,       0.6031,       0.80005,       0.75348,       0.73218,       0.71868
(0, 405),     0.55926,       0.89863,       0.52658,       0.81485,       0.59929,       0.62642,       0.67084
(287, 327),     0.67994,       0.71994,       0.53609,       0.81302,       0.65068,       0.56962,       0.66155
(82, 321),     0.66447,       0.93547,       0.42293,       0.84187,       0.41681,       0.42097,       0.61709
(311, 375),     0.6344,       0.94163,       0.35523,       0.82768,       0.44613,       0.43408,       0.60652
(98, 292),     0.74644,       0.49507,       0.63747,       0.59845,       0.70566,       0.45227,       0.60589
(13, 321),     0.65396,       0.93784,       0.22962,       0.83919,       0.23513,       0.26069,       0.52607
(255, 257),     0.56814,       0.94468,       0.11073,       0.66135,       0.22685,       0.09479,       0.43442
(258, 327),     0.23859,       0.79149,       -0.08609,       0.62766,       0.2297,       -0.00328,       0.29968
(24, 159),     0.23918,       0.71582,       -0.37584,       0.6838,       0.36353,       -0.02345,       0.26717
(293, 387),     0.0985,       0.65484,       0.42236,       0.01218,       -0.3141,       0.44386,       0.21961
(296, 385),     -0.11108,       0.73611,       0.54346,       -0.01585,       -0.37486,       0.45063,       0.20474
(334, 386),     -0.0702,       0.72206,       0.50695,       -0.00811,       -0.38531,       0.42406,       0.19824
(61, 160),     0.35089,       0.05594,       -0.33857,       0.42248,       0.38159,       0.1716,       0.17399
(25, 159),     0.0147,       0.50558,       -0.44561,       0.6728,       0.26716,       -0.03386,       0.16346
(336, 384),     -0.1442,       0.42584,       0.41904,       -0.16567,       -0.30178,       0.55479,       0.13134
