Comparing the following files: 
hadleigh_front_s2_v2/,  hadleigh_low_s2_v2/,  hadleigh_right_threequarter_s2_v2/,  hadleigh_left_threequarter_s2_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s2_v2_vs_hadleigh_low_s2_v2,  hadleigh_front_s2_v2_vs_hadleigh_right_threequarter_s2_v2,  hadleigh_front_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  hadleigh_low_s2_v2_vs_hadleigh_right_threequarter_s2_v2,  hadleigh_low_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  hadleigh_right_threequarter_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  average
(265, 409),     0.95754,       0.96969,       0.9281,       0.94315,       0.94482,       0.92372,       0.9445
(265, 308),     0.94468,       0.96723,       0.92961,       0.93963,       0.93494,       0.92259,       0.93978
(265, 292),     0.9439,       0.96662,       0.93066,       0.93885,       0.93448,       0.92266,       0.93953
(265, 306),     0.94442,       0.96542,       0.9314,       0.93885,       0.93525,       0.92096,       0.93938
(265, 291),     0.94502,       0.96299,       0.93168,       0.93738,       0.93612,       0.91714,       0.93839
(265, 415),     0.9478,       0.97051,       0.91996,       0.93071,       0.93926,       0.91908,       0.93789
(40, 308),     0.96178,       0.94733,       0.91711,       0.94795,       0.94922,       0.88577,       0.93486
(40, 306),     0.96286,       0.94386,       0.91556,       0.94976,       0.94616,       0.88664,       0.93414
(40, 292),     0.96187,       0.94545,       0.9153,       0.948,       0.94754,       0.88456,       0.93379
(383, 409),     0.94955,       0.96625,       0.92304,       0.92315,       0.93155,       0.90385,       0.9329
(82, 311),     0.95135,       0.95162,       0.9093,       0.94682,       0.94235,       0.88966,       0.93185
(40, 291),     0.96264,       0.9386,       0.91478,       0.94798,       0.94304,       0.88292,       0.93166
(13, 312),     0.94887,       0.93145,       0.92134,       0.94039,       0.94783,       0.89342,       0.93055
(353, 409),     0.94603,       0.96577,       0.92016,       0.93148,       0.92083,       0.89783,       0.93035
(39, 308),     0.95764,       0.92727,       0.9236,       0.94771,       0.94703,       0.87471,       0.92966
(39, 409),     0.95488,       0.92868,       0.91557,       0.94733,       0.94149,       0.88943,       0.92956
(82, 312),     0.95455,       0.94899,       0.90304,       0.94342,       0.92381,       0.90228,       0.92935
(39, 292),     0.95663,       0.92256,       0.92247,       0.9466,       0.94568,       0.87326,       0.92787
(40, 409),     0.95746,       0.9347,       0.90779,       0.93684,       0.94074,       0.88785,       0.92756
(353, 415),     0.94207,       0.96971,       0.90977,       0.92829,       0.91807,       0.89486,       0.92713
(383, 415),     0.9395,       0.96833,       0.9144,       0.91157,       0.92454,       0.89863,       0.92616
(185, 291),     0.95426,       0.9426,       0.89994,       0.94498,       0.93556,       0.87668,       0.92567
(185, 306),     0.95007,       0.94428,       0.90028,       0.94506,       0.93569,       0.87815,       0.92559
(39, 306),     0.95499,       0.91713,       0.92149,       0.94537,       0.94282,       0.87109,       0.92548
(308, 383),     0.92943,       0.96455,       0.92259,       0.91563,       0.9169,       0.90189,       0.92517
(306, 383),     0.92908,       0.96246,       0.9247,       0.91501,       0.91779,       0.90086,       0.92498
(292, 383),     0.9283,       0.96381,       0.92384,       0.91462,       0.91656,       0.90249,       0.92494
(291, 383),     0.93026,       0.96,       0.92496,       0.91454,       0.91937,       0.89685,       0.92433
(81, 311),     0.94373,       0.94818,       0.89313,       0.94124,       0.92823,       0.89133,       0.92431
(265, 270),     0.93529,       0.96165,       0.91352,       0.90786,       0.91776,       0.90868,       0.92413
(185, 292),     0.94353,       0.94231,       0.89852,       0.941,       0.9332,       0.87379,       0.92206
(185, 308),     0.94111,       0.94217,       0.89975,       0.93981,       0.93394,       0.8747,       0.92191
(263, 415),     0.94244,       0.95762,       0.8955,       0.95446,       0.89716,       0.88254,       0.92162
(81, 415),     0.94919,       0.94636,       0.90719,       0.92757,       0.93919,       0.8554,       0.92082
(39, 291),     0.95273,       0.90757,       0.91965,       0.94099,       0.93834,       0.86214,       0.92024
(57, 291),     0.95276,       0.9184,       0.92336,       0.92554,       0.92992,       0.87109,       0.92018
(80, 415),     0.92806,       0.95601,       0.88825,       0.94479,       0.92668,       0.87722,       0.92017
(80, 306),     0.94823,       0.95038,       0.90016,       0.93198,       0.928,       0.86185,       0.9201
(80, 409),     0.9477,       0.95072,       0.88756,       0.94317,       0.92294,       0.86798,       0.92001
(40, 324),     0.95867,       0.9337,       0.9039,       0.94077,       0.93482,       0.8475,       0.91989
(185, 409),     0.94555,       0.93899,       0.8944,       0.92708,       0.92508,       0.8878,       0.91982
(191, 291),     0.93897,       0.95537,       0.88359,       0.94853,       0.92058,       0.87025,       0.91955
(39, 270),     0.94729,       0.92012,       0.90312,       0.93492,       0.92886,       0.88163,       0.91932
(80, 291),     0.95497,       0.94584,       0.90025,       0.93437,       0.92574,       0.85469,       0.91931
(191, 409),     0.94411,       0.95049,       0.88051,       0.94831,       0.91499,       0.87736,       0.9193
(249, 415),     0.94374,       0.95141,       0.89285,       0.95439,       0.89911,       0.87405,       0.91926
(40, 375),     0.94961,       0.92726,       0.9046,       0.94874,       0.92628,       0.857,       0.91892
(81, 310),     0.93422,       0.95619,       0.88688,       0.93545,       0.92975,       0.86868,       0.91853
(87, 402),     0.93878,       0.93697,       0.91229,       0.91547,       0.89327,       0.9128,       0.91826
(191, 415),     0.92845,       0.94731,       0.88227,       0.9467,       0.92122,       0.88337,       0.91822
(57, 306),     0.94828,       0.91758,       0.92111,       0.92759,       0.92613,       0.86855,       0.91821
(191, 310),     0.93833,       0.94586,       0.88512,       0.93503,       0.90901,       0.89421,       0.91793
(308, 353),     0.91923,       0.95762,       0.91725,       0.92081,       0.9013,       0.8906,       0.9178
(191, 306),     0.92937,       0.95585,       0.88335,       0.9434,       0.92028,       0.87335,       0.9176
(57, 375),     0.93598,       0.95036,       0.91102,       0.92366,       0.89629,       0.88743,       0.91746
(185, 375),     0.94941,       0.94505,       0.89065,       0.93235,       0.92264,       0.86338,       0.91725
(292, 353),     0.91745,       0.95651,       0.91836,       0.91921,       0.90082,       0.89101,       0.91723
(80, 292),     0.93932,       0.95147,       0.8964,       0.92545,       0.9268,       0.85981,       0.91654
(306, 353),     0.91726,       0.9545,       0.91851,       0.91769,       0.90127,       0.88809,       0.91622
(263, 409),     0.93089,       0.94906,       0.90549,       0.9433,       0.88667,       0.88129,       0.91612
(80, 308),     0.93611,       0.95306,       0.89506,       0.92482,       0.92708,       0.85889,       0.91584
(415, 466),     0.94271,       0.95518,       0.88429,       0.95322,       0.89263,       0.86641,       0.91574
(57, 409),     0.94514,       0.93798,       0.90837,       0.90012,       0.89085,       0.90937,       0.91531
(81, 409),     0.96061,       0.92568,       0.90802,       0.92604,       0.93013,       0.83979,       0.91504
(292, 405),     0.91404,       0.93852,       0.89149,       0.94121,       0.90718,       0.89684,       0.91488
(308, 405),     0.91483,       0.93579,       0.89136,       0.93816,       0.91219,       0.89603,       0.91473
(291, 353),     0.91748,       0.9508,       0.91794,       0.91456,       0.902,       0.88195,       0.91412
(270, 353),     0.92545,       0.96215,       0.90929,       0.9066,       0.88974,       0.89036,       0.91393
(185, 415),     0.94534,       0.92509,       0.90107,       0.91095,       0.93738,       0.86322,       0.91384
(249, 310),     0.92857,       0.95461,       0.88463,       0.94284,       0.8928,       0.87844,       0.91365
(80, 310),     0.92651,       0.9448,       0.87237,       0.94271,       0.91919,       0.87398,       0.91326
(306, 405),     0.91257,       0.93724,       0.89305,       0.93903,       0.90215,       0.89522,       0.91321
(80, 311),     0.94079,       0.9376,       0.89048,       0.91186,       0.91056,       0.8871,       0.91307
(390, 415),     0.94301,       0.94423,       0.88671,       0.95048,       0.89438,       0.85908,       0.91298
(308, 314),     0.91021,       0.9306,       0.89257,       0.94739,       0.90179,       0.89529,       0.91297
