Comparing the following files: 
kelly_front_s1_v2/,  hadleigh_front_s1_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s1_v2_vs_hadleigh_front_s1_v2,  average
(124, 327),     -0.67318,       -0.67318
(156, 327),     -0.66334,       -0.66334
(35, 327),     -0.64921,       -0.64921
(156, 291),     -0.59815,       -0.59815
(156, 287),     -0.59799,       -0.59799
(35, 291),     -0.58733,       -0.58733
(35, 98),     -0.58528,       -0.58528
(35, 306),     -0.58054,       -0.58054
(156, 306),     -0.57687,       -0.57687
(98, 156),     -0.57519,       -0.57519
(124, 291),     -0.57043,       -0.57043
(124, 306),     -0.56463,       -0.56463
(46, 327),     -0.56348,       -0.56348
(35, 409),     -0.5554,       -0.5554
(35, 292),     -0.55264,       -0.55264
(70, 327),     -0.55157,       -0.55157
(163, 327),     -0.54975,       -0.54975
(144, 327),     -0.54705,       -0.54705
(156, 375),     -0.54428,       -0.54428
(124, 292),     -0.54268,       -0.54268
(156, 292),     -0.54093,       -0.54093
(156, 324),     -0.54001,       -0.54001
(353, 384),     -0.53823,       -0.53823
(7, 327),     -0.53593,       -0.53593
(33, 327),     -0.52916,       -0.52916
(35, 308),     -0.52725,       -0.52725
(124, 287),     -0.5266,       -0.5266
(35, 287),     -0.52608,       -0.52608
(98, 124),     -0.52595,       -0.52595
(124, 308),     -0.52531,       -0.52531
(156, 308),     -0.52094,       -0.52094
(70, 287),     -0.51813,       -0.51813
(35, 375),     -0.51547,       -0.51547
(70, 291),     -0.51052,       -0.51052
(46, 291),     -0.50906,       -0.50906
(35, 324),     -0.50736,       -0.50736
(353, 385),     -0.50512,       -0.50512
(46, 306),     -0.50391,       -0.50391
(145, 327),     -0.50325,       -0.50325
(178, 405),     -0.50122,       -0.50122
(46, 292),     -0.48766,       -0.48766
(70, 306),     -0.485,       -0.485
(156, 409),     -0.48449,       -0.48449
(124, 409),     -0.47884,       -0.47884
(46, 308),     -0.47659,       -0.47659
(46, 287),     -0.47387,       -0.47387
(153, 327),     -0.46506,       -0.46506
(353, 386),     -0.46472,       -0.46472
(383, 385),     -0.46377,       -0.46377
(383, 466),     -0.45499,       -0.45499
(63, 287),     -0.4526,       -0.4526
(53, 291),     -0.4517,       -0.4517
(63, 291),     -0.45093,       -0.45093
(88, 265),     -0.45059,       -0.45059
(70, 292),     -0.44868,       -0.44868
(383, 384),     -0.44713,       -0.44713
(53, 306),     -0.44342,       -0.44342
(70, 324),     -0.44027,       -0.44027
(70, 375),     -0.43937,       -0.43937
(383, 386),     -0.43933,       -0.43933
(383, 388),     -0.43648,       -0.43648
(70, 308),     -0.43155,       -0.43155
(53, 292),     -0.43074,       -0.43074
(88, 405),     -0.43045,       -0.43045
(124, 375),     -0.43029,       -0.43029
(124, 324),     -0.43012,       -0.43012
(63, 306),     -0.42773,       -0.42773
(14, 287),     -0.42624,       -0.42624
(383, 387),     -0.42326,       -0.42326
(33, 409),     -0.42187,       -0.42187
(53, 308),     -0.42039,       -0.42039
(287, 402),     -0.42015,       -0.42015
(53, 287),     -0.42011,       -0.42011
(65, 66),     -0.41965,       -0.41965
(353, 387),     -0.41552,       -0.41552
(7, 409),     -0.41434,       -0.41434
(287, 317),     -0.41366,       -0.41366
(154, 327),     -0.41214,       -0.41214
(263, 383),     -0.41192,       -0.41192
(63, 327),     -0.40888,       -0.40888
(35, 270),     -0.40714,       -0.40714
(33, 98),     -0.40653,       -0.40653
(53, 327),     -0.40625,       -0.40625
(353, 398),     -0.40584,       -0.40584
(7, 98),     -0.40001,       -0.40001
(53, 63),     -0.39902,       -0.39902
(63, 292),     -0.39854,       -0.39854
(300, 398),     -0.39745,       -0.39745
(70, 98),     -0.39634,       -0.39634
(95, 405),     -0.39604,       -0.39604
(282, 334),     -0.39536,       -0.39536
(88, 383),     -0.39423,       -0.39423
(295, 296),     -0.39191,       -0.39191
(87, 287),     -0.3907,       -0.3907
(95, 321),     -0.39022,       -0.39022
(178, 287),     -0.3895,       -0.3895
(63, 308),     -0.38555,       -0.38555
(78, 321),     -0.38521,       -0.38521
(87, 405),     -0.38263,       -0.38263
(246, 327),     -0.38219,       -0.38219
(353, 388),     -0.37777,       -0.37777
(88, 321),     -0.37727,       -0.37727
