Comparing the following files: 
kelly_front_s2_v2/,  hadleigh_front_s2_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s2_v2_vs_hadleigh_front_s2_v2,  average
(24, 159),     -0.20061,       -0.20061
(25, 159),     -0.1402,       -0.1402
(336, 384),     -0.05671,       -0.05671
(258, 327),     -0.0018,       -0.0018
(293, 387),     0.14519,       0.14519
(287, 327),     0.14684,       0.14684
(255, 257),     0.15614,       0.15614
(296, 385),     0.17177,       0.17177
(334, 386),     0.21073,       0.21073
(61, 160),     0.24677,       0.24677
(375, 409),     0.30996,       0.30996
(270, 321),     0.3104,       0.3104
(0, 405),     0.31355,       0.31355
(98, 292),     0.34551,       0.34551
(82, 321),     0.35858,       0.35858
(81, 181),     0.36797,       0.36797
(311, 375),     0.37615,       0.37615
(13, 321),     0.40044,       0.40044
