Comparing the following files: 
kelly_low_s3_v2/,  hadleigh_low_s3_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_low_s3_v2_vs_hadleigh_low_s3_v2,  average
(98, 292),     -0.3685,       -0.3685
(287, 327),     -0.29138,       -0.29138
(82, 321),     -0.13494,       -0.13494
(0, 405),     -0.12837,       -0.12837
(61, 160),     -0.12802,       -0.12802
(25, 159),     -0.12505,       -0.12505
(255, 257),     -0.08459,       -0.08459
(375, 409),     -0.0661,       -0.0661
(336, 384),     -0.05778,       -0.05778
(311, 375),     -0.05559,       -0.05559
(270, 321),     -0.05196,       -0.05196
(13, 321),     -0.04743,       -0.04743
(296, 385),     -0.01761,       -0.01761
(81, 181),     -0.00133,       -0.00133
(258, 327),     0.00681,       0.00681
(24, 159),     0.0389,       0.0389
(334, 386),     0.05145,       0.05145
(293, 387),     0.06493,       0.06493
