Comparing the following files: 
kelly_front_s3_v2/,  kelly_low_s3_v2/,  kelly_right_threequarter_s3_v2/,  kelly_left_threequarter_s3_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s3_v2_vs_kelly_low_s3_v2,  kelly_front_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_front_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_right_threequarter_s3_v2_vs_kelly_left_threequarter_s3_v2,  average
(82, 321),     0.92573,       0.80755,       0.6854,       0.84456,       0.73354,       0.91575,       0.81876
(13, 321),     0.93261,       0.8052,       0.6635,       0.84912,       0.73172,       0.92228,       0.81741
(311, 375),     0.93087,       0.80521,       0.65369,       0.85412,       0.72403,       0.91837,       0.81438
(0, 405),     0.88834,       0.74788,       0.61847,       0.82435,       0.72981,       0.92078,       0.78827
(270, 321),     0.89384,       0.74241,       0.6018,       0.84303,       0.71792,       0.91557,       0.78576
(375, 409),     0.89201,       0.7445,       0.60433,       0.8546,       0.70345,       0.89677,       0.78261
(81, 181),     0.91079,       0.7568,       0.6091,       0.83572,       0.65051,       0.88342,       0.77439
(24, 159),     0.93012,       0.75773,       0.58767,       0.7732,       0.59549,       0.88777,       0.75533
(98, 292),     0.832,       0.74326,       0.69101,       0.77007,       0.77499,       0.67512,       0.74774
(25, 159),     0.82534,       0.74866,       0.58591,       0.73839,       0.57027,       0.87306,       0.7236
(287, 327),     0.78441,       0.68247,       0.49367,       0.81005,       0.67182,       0.80616,       0.7081
(61, 160),     0.68977,       0.59242,       0.42862,       0.79396,       0.59429,       0.79829,       0.64956
(334, 386),     0.91207,       0.72314,       0.3348,       0.74348,       0.4369,       0.64996,       0.63339
(293, 387),     0.90921,       0.67666,       0.33759,       0.73724,       0.48703,       0.61413,       0.62698
(296, 385),     0.91479,       0.72848,       0.33905,       0.72568,       0.38006,       0.65501,       0.62384
(336, 384),     0.88529,       0.69511,       0.26568,       0.6972,       0.2742,       0.54847,       0.56099
(255, 257),     0.27927,       0.62329,       0.53817,       0.68988,       0.4777,       0.65766,       0.54433
(258, 327),     0.18548,       0.29569,       0.38043,       0.67798,       0.47676,       0.40249,       0.40314
