Comparing the following files: 
kelly_front_s4_v2/,  kelly_low_s4_v2/,  kelly_right_threequarter_s4_v2/,  kelly_left_threequarter_s4_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s4_v2_vs_kelly_low_s4_v2,  kelly_front_s4_v2_vs_kelly_right_threequarter_s4_v2,  kelly_front_s4_v2_vs_kelly_left_threequarter_s4_v2,  kelly_low_s4_v2_vs_kelly_right_threequarter_s4_v2,  kelly_low_s4_v2_vs_kelly_left_threequarter_s4_v2,  kelly_right_threequarter_s4_v2_vs_kelly_left_threequarter_s4_v2,  average
(0, 314),     0.92957,       0.95546,       0.77884,       0.97225,       0.84915,       0.82734,       0.88543
(37, 314),     0.93319,       0.95638,       0.7823,       0.96892,       0.84987,       0.82184,       0.88542
(17, 37),     0.92714,       0.95276,       0.78223,       0.97173,       0.84902,       0.82826,       0.88519
(39, 84),     0.93192,       0.94963,       0.78366,       0.9725,       0.84384,       0.81722,       0.88313
(0, 405),     0.93431,       0.95887,       0.77506,       0.96847,       0.84706,       0.81476,       0.88309
(37, 84),     0.92553,       0.94726,       0.77814,       0.97363,       0.8454,       0.82828,       0.88304
(0, 17),     0.92285,       0.95017,       0.77639,       0.97234,       0.84532,       0.82977,       0.88281
(17, 39),     0.93317,       0.95153,       0.7865,       0.96712,       0.84559,       0.81204,       0.88266
(267, 314),     0.92578,       0.94766,       0.77068,       0.9727,       0.84597,       0.82729,       0.88168
(267, 405),     0.93155,       0.9521,       0.76894,       0.97035,       0.84621,       0.81906,       0.88137
(39, 314),     0.9395,       0.95217,       0.78712,       0.95865,       0.84703,       0.80037,       0.88081
(37, 405),     0.93607,       0.95886,       0.77791,       0.95982,       0.84608,       0.8048,       0.88059
(0, 84),     0.92104,       0.94201,       0.76956,       0.97266,       0.8384,       0.82493,       0.8781
(39, 181),     0.92708,       0.94195,       0.77353,       0.9751,       0.83561,       0.81142,       0.87745
(17, 267),     0.91866,       0.94026,       0.7667,       0.97147,       0.84069,       0.82629,       0.87735
(269, 405),     0.92202,       0.94223,       0.76026,       0.9717,       0.84048,       0.82035,       0.87617
(37, 181),     0.91994,       0.93451,       0.76454,       0.97418,       0.83212,       0.81726,       0.87376
(40, 181),     0.92891,       0.94352,       0.77067,       0.97193,       0.82315,       0.79627,       0.87241
(269, 314),     0.91257,       0.9351,       0.7579,       0.97016,       0.8351,       0.82173,       0.87209
(40, 84),     0.93173,       0.94442,       0.77375,       0.9633,       0.82466,       0.79103,       0.87148
(84, 267),     0.91672,       0.92882,       0.75872,       0.96986,       0.83236,       0.8181,       0.87076
(39, 405),     0.94098,       0.95076,       0.78349,       0.93557,       0.84348,       0.76955,       0.87064
(267, 321),     0.93041,       0.95414,       0.74509,       0.96223,       0.83155,       0.79449,       0.86965
(270, 321),     0.91561,       0.93837,       0.75151,       0.96775,       0.83082,       0.81315,       0.86954
(0, 321),     0.93146,       0.96126,       0.74926,       0.95876,       0.8285,       0.78455,       0.86897
(269, 321),     0.92433,       0.94271,       0.74148,       0.96734,       0.83457,       0.80297,       0.8689
(13, 314),     0.9199,       0.96169,       0.74623,       0.96648,       0.80877,       0.80287,       0.86766
(312, 314),     0.91439,       0.95779,       0.74674,       0.96728,       0.80945,       0.80792,       0.86726
(13, 17),     0.91364,       0.95892,       0.74742,       0.96861,       0.80609,       0.80816,       0.86714
(17, 82),     0.91626,       0.96135,       0.74694,       0.96483,       0.80805,       0.80526,       0.86711
(82, 84),     0.91626,       0.95838,       0.74473,       0.96976,       0.80476,       0.80589,       0.86663
(40, 91),     0.92434,       0.93246,       0.76836,       0.97132,       0.81536,       0.78564,       0.86625
(82, 314),     0.92302,       0.96209,       0.7418,       0.96131,       0.81129,       0.79486,       0.86573
(270, 405),     0.90418,       0.93427,       0.75349,       0.96649,       0.81906,       0.81574,       0.86554
(17, 40),     0.93145,       0.94052,       0.77344,       0.9472,       0.82347,       0.77518,       0.86521
(312, 405),     0.92172,       0.95866,       0.74254,       0.96359,       0.81045,       0.79269,       0.86494
(0, 181),     0.91543,       0.92374,       0.75218,       0.97142,       0.82005,       0.80678,       0.86493
(311, 405),     0.91304,       0.95432,       0.74623,       0.9607,       0.80995,       0.8042,       0.86474
(81, 84),     0.91745,       0.95803,       0.74364,       0.96604,       0.80171,       0.80124,       0.86469
(17, 269),     0.90443,       0.92333,       0.75062,       0.9655,       0.82692,       0.81395,       0.86413
(17, 312),     0.90816,       0.95219,       0.74029,       0.96942,       0.80471,       0.80677,       0.86359
(13, 84),     0.91314,       0.95203,       0.73967,       0.97349,       0.80126,       0.79989,       0.86325
(81, 181),     0.91589,       0.95377,       0.74,       0.97072,       0.79664,       0.79789,       0.86248
