Comparing the following files: 
krithika_front_s4_v1/groups,  krithika_low_s4_v1/groups,  krithika_threequarter_s4_v1/groups,  

Correlation cuttoff is 0.8
landmark(s),  krithika_front_s4_v1groups_vs_krithika_low_s4_v1groups,  krithika_front_s4_v1groups_vs_krithika_threequarter_s4_v1groups,  krithika_low_s4_v1groups_vs_krithika_threequarter_s4_v1groups,  average
(88, 270),     0.89635,       0.91334,       0.82782,       0.87917
(375, 415),     0.90418,       0.92479,       0.80327,       0.87741
(178, 270),     0.90912,       0.89496,       0.82465,       0.87624
(324, 415),     0.9298,       0.8644,       0.82313,       0.87244
(310, 375),     0.88919,       0.9279,       0.79318,       0.87009
(310, 321),     0.90232,       0.90358,       0.79466,       0.86685
(321, 415),     0.89557,       0.89223,       0.81068,       0.86616
(310, 318),     0.92244,       0.86673,       0.80743,       0.86553
(87, 270),     0.89255,       0.87872,       0.81323,       0.8615
(311, 375),     0.86729,       0.92851,       0.78851,       0.86144
(375, 409),     0.88752,       0.88875,       0.80797,       0.86141
(62, 185),     0.91767,       0.89292,       0.77327,       0.86129
(311, 321),     0.8897,       0.91213,       0.78107,       0.86097
(14, 40),     0.89202,       0.89451,       0.793,       0.85984
(95, 270),     0.84184,       0.92117,       0.81571,       0.85957
(91, 310),     0.86343,       0.899,       0.81539,       0.85927
(40, 87),     0.88735,       0.89299,       0.79743,       0.85926
(95, 269),     0.87517,       0.89999,       0.80234,       0.85917
(88, 269),     0.89171,       0.88831,       0.79342,       0.85781
(312, 321),     0.87466,       0.92292,       0.77209,       0.85656
(95, 191),     0.92897,       0.84315,       0.79609,       0.85607
(310, 324),     0.87891,       0.89194,       0.79652,       0.85579
(78, 185),     0.90706,       0.89155,       0.7673,       0.8553
(81, 87),     0.90294,       0.85767,       0.8022,       0.85427
(80, 88),     0.92222,       0.84961,       0.79075,       0.85419
(91, 311),     0.8807,       0.89867,       0.78135,       0.85357
(311, 402),     0.90949,       0.86249,       0.78852,       0.8535
(98, 318),     0.89608,       0.86336,       0.79768,       0.85237
