Comparing the following files: 
hadleigh_front_s28_v2/,  hadleigh_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  hadleigh_front_s28_v2_vs_hadleigh_front_s27_v2,  average
(293, 387),     -0.63482,       -0.63482
(334, 386),     -0.51817,       -0.51817
(296, 385),     -0.30984,       -0.30984
(61, 160),     -0.23372,       -0.23372
(24, 159),     -0.09582,       -0.09582
(25, 159),     0.01064,       0.01064
(336, 384),     0.02588,       0.02588
(98, 292),     0.10595,       0.10595
(287, 327),     0.21839,       0.21839
(255, 257),     0.35901,       0.35901
(258, 327),     0.44158,       0.44158
(375, 409),     0.59957,       0.59957
(82, 321),     0.61445,       0.61445
(0, 405),     0.6235,       0.6235
(270, 321),     0.63535,       0.63535
(311, 375),     0.63927,       0.63927
(13, 321),     0.64284,       0.64284
(81, 181),     0.70889,       0.70889
