Comparing the following files: 
kelly_right_threequarter_s28_v2/,  kelly_right_threequarter_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_right_threequarter_s28_v2_vs_kelly_right_threequarter_s27_v2,  average
(61, 160),     -0.35397,       -0.35397
(336, 384),     -0.3198,       -0.3198
(13, 321),     -0.22381,       -0.22381
(82, 321),     -0.19805,       -0.19805
(311, 375),     -0.19511,       -0.19511
(81, 181),     -0.16184,       -0.16184
(296, 385),     -0.16097,       -0.16097
(375, 409),     -0.13778,       -0.13778
(334, 386),     -0.13267,       -0.13267
(270, 321),     -0.11846,       -0.11846
(293, 387),     -0.11613,       -0.11613
(0, 405),     -0.11156,       -0.11156
(287, 327),     -0.05474,       -0.05474
(98, 292),     -0.04504,       -0.04504
(255, 257),     -0.0014,       -0.0014
(24, 159),     0.16066,       0.16066
(258, 327),     0.16366,       0.16366
(25, 159),     0.21243,       0.21243
