Comparing the following files: 
hadleigh_low_s28_v2/,  hadleigh_low_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  hadleigh_low_s28_v2_vs_hadleigh_low_s27_v2,  average
(24, 159),     -0.76187,       -0.76187
(25, 159),     -0.64013,       -0.64013
(61, 160),     -0.39801,       -0.39801
(336, 384),     -0.17527,       -0.17527
(296, 385),     -0.14112,       -0.14112
(98, 292),     -0.00239,       -0.00239
(293, 387),     0.05211,       0.05211
(334, 386),     0.06043,       0.06043
(287, 327),     0.22791,       0.22791
(255, 257),     0.22953,       0.22953
(82, 321),     0.37928,       0.37928
(258, 327),     0.38672,       0.38672
(13, 321),     0.42846,       0.42846
(375, 409),     0.43464,       0.43464
(0, 405),     0.43537,       0.43537
(270, 321),     0.44322,       0.44322
(311, 375),     0.44333,       0.44333
(81, 181),     0.47594,       0.47594
