Comparing the following files: 
hadleigh_right_threequarter_s28_v2/,  hadleigh_right_threequarter_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  hadleigh_right_threequarter_s28_v2_vs_hadleigh_right_threequarter_s27_v2,  average
(24, 159),     -0.70058,       -0.70058
(25, 159),     -0.67384,       -0.67384
(61, 160),     -0.57417,       -0.57417
(334, 386),     -0.47056,       -0.47056
(287, 327),     -0.45955,       -0.45955
(296, 385),     -0.38156,       -0.38156
(293, 387),     -0.36341,       -0.36341
(98, 292),     -0.22719,       -0.22719
(336, 384),     0.24866,       0.24866
(255, 257),     0.36972,       0.36972
(258, 327),     0.41623,       0.41623
(0, 405),     0.51678,       0.51678
(270, 321),     0.54469,       0.54469
(375, 409),     0.54587,       0.54587
(82, 321),     0.60519,       0.60519
(81, 181),     0.63337,       0.63337
(13, 321),     0.64061,       0.64061
(311, 375),     0.64282,       0.64282
