Comparing the following files: 
kelly_front_s31_v2/,  kelly_front_s32_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s31_v2_vs_kelly_front_s32_v2,  average
(0, 405),     0.15436,       0.15436
(270, 321),     0.17311,       0.17311
(375, 409),     0.18204,       0.18204
(311, 375),     0.20549,       0.20549
(81, 181),     0.21642,       0.21642
(82, 321),     0.22563,       0.22563
(13, 321),     0.24253,       0.24253
(287, 327),     0.2463,       0.2463
(255, 257),     0.28014,       0.28014
(98, 292),     0.29188,       0.29188
(258, 327),     0.3345,       0.3345
(61, 160),     0.49719,       0.49719
(336, 384),     0.59397,       0.59397
(293, 387),     0.59463,       0.59463
(334, 386),     0.62401,       0.62401
(296, 385),     0.6534,       0.6534
(25, 159),     0.66184,       0.66184
(24, 159),     0.70298,       0.70298
