Comparing the following files: 
kelly_low_s31_v2/,  kelly_low_s32_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_low_s31_v2_vs_kelly_low_s32_v2,  average
(258, 327),     0.00197,       0.00197
(270, 321),     0.1569,       0.1569
(0, 405),     0.16963,       0.16963
(255, 257),     0.17163,       0.17163
(81, 181),     0.17182,       0.17182
(375, 409),     0.17225,       0.17225
(311, 375),     0.20624,       0.20624
(82, 321),     0.2233,       0.2233
(13, 321),     0.23837,       0.23837
(336, 384),     0.31294,       0.31294
(61, 160),     0.35206,       0.35206
(287, 327),     0.4555,       0.4555
(296, 385),     0.47558,       0.47558
(98, 292),     0.50058,       0.50058
(334, 386),     0.50088,       0.50088
(25, 159),     0.50365,       0.50365
(293, 387),     0.53025,       0.53025
(24, 159),     0.61822,       0.61822
