
(57, 269) appeared 7 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities2, identities3, utterances3, utterances4, 
(57, 270) appeared 7 times in: kelly_angles1, kelly_angles2, identities2, identities3, utterances1, utterances3, utterances4, 
(380, 386) appeared 7 times in: kelly_angles1, identities1, identities2, identities3, identities4, utterances1, utterances2, 
(40, 409) appeared 7 times in: kelly_angles1, identities2, identities3, utterances1, utterances2, utterances3, utterances4, 
(381, 386) appeared 7 times in: kelly_angles1, identities1, identities2, identities3, identities4, utterances1, utterances2, 
(40, 270) appeared 7 times in: kelly_angles1, identities2, identities3, utterances1, utterances2, utterances3, utterances4, 
(185, 270) appeared 7 times in: kelly_angles1, identities2, identities3, utterances1, utterances2, utterances3, utterances4, 
(374, 386) appeared 7 times in: kelly_angles1, identities1, identities2, identities3, identities4, utterances1, utterances2, 
(380, 385) appeared 7 times in: kelly_angles1, identities1, identities2, identities3, identities4, utterances1, utterances2, 
(173, 380) appeared 7 times in: kelly_angles2, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(95, 161) appeared 7 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, 
(246, 380) appeared 7 times in: kelly_angles2, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(78, 246) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(246, 381) appeared 7 times in: kelly_angles2, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(62, 246) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(35, 91) appeared 7 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, 
(78, 161) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(246, 374) appeared 7 times in: kelly_angles2, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(133, 276) appeared 7 times in: kelly_angles2, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(62, 161) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(76, 246) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(155, 276) appeared 7 times in: kelly_angles2, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(14, 321) appeared 7 times in: kelly_angles2, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(46, 373) appeared 7 times in: kelly_angles2, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(161, 185) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(160, 191) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(40, 160) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(78, 160) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(76, 161) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(246, 382) appeared 7 times in: kelly_angles2, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(62, 160) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(39, 160) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(374, 385) appeared 7 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, 
(40, 159) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(61, 246) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(159, 191) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(173, 381) appeared 7 times in: kelly_angles2, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(39, 159) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(124, 373) appeared 7 times in: kelly_angles2, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(160, 185) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(78, 159) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(62, 159) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(76, 160) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(61, 161) appeared 7 times in: kelly_angles2, identities1, identities2, identities4, utterances1, utterances2, utterances3, 
(293, 387) appeared 7 times in: krithika_angles1, identities1, identities3, identities4, utterances1, utterances2, utterances3, 
(334, 384) appeared 7 times in: krithika_angles1, identities1, identities3, identities4, utterances1, utterances2, utterances3, 
(293, 388) appeared 7 times in: krithika_angles1, identities1, identities3, identities4, utterances1, utterances2, utterances3, 
(334, 385) appeared 7 times in: krithika_angles1, identities1, identities3, identities4, utterances1, utterances2, utterances3, 
(7, 159) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(7, 160) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(159, 163) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(76, 387) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(76, 386) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(61, 386) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(62, 387) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(62, 386) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(7, 161) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(78, 387) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(144, 158) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(78, 386) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(62, 385) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(78, 385) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(185, 387) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(185, 386) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(35, 158) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(145, 158) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(185, 385) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(158, 159) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(153, 157) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(154, 173) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(40, 386) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(133, 387) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(387, 388) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(191, 386) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(35, 159) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(155, 173) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(40, 385) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(157, 163) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(35, 157) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(173, 246) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(33, 155) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(46, 160) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(65, 156) appeared 7 times in: identities1, identities2, identities3, identities4, utterances2, utterances3, utterances4, 
(33, 154) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(46, 161) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(33, 133) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(52, 70) appeared 7 times in: identities1, identities2, identities3, identities4, utterances2, utterances3, utterances4, 
(107, 156) appeared 7 times in: identities1, identities2, identities3, identities4, utterances2, utterances3, utterances4, 
(46, 159) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(161, 246) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(380, 398) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(66, 70) appeared 7 times in: identities1, identities2, identities3, identities4, utterances2, utterances3, utterances4, 
(7, 155) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(33, 124) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(33, 161) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(145, 163) appeared 7 times in: identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(133, 417) appeared 7 times in: identities2, identities3, identities4, utterances1, utterances2, utterances3, utterances4, 
(7, 417) appeared 7 times in: identities2, identities3, identities4, utterances1, utterances2, utterances3, utterances4, 
(193, 417) appeared 7 times in: identities2, identities3, identities4, utterances1, utterances2, utterances3, utterances4, 
(155, 417) appeared 7 times in: identities2, identities3, identities4, utterances1, utterances2, utterances3, utterances4, 
