
(57, 267) appeared 9 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances1, utterances3, utterances4, 
(57, 269) appeared 9 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances1, utterances3, utterances4, 
(57, 270) appeared 9 times in: kelly_angles1, kelly_angles2, identities1, identities2, identities3, utterances1, utterances2, utterances3, utterances4, 
(57, 409) appeared 9 times in: kelly_angles1, kelly_angles2, identities1, identities2, identities3, utterances1, utterances2, utterances3, utterances4, 
(57, 306) appeared 9 times in: kelly_angles1, kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(57, 292) appeared 9 times in: kelly_angles1, kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(146, 310) appeared 9 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances1, utterances3, utterances4, 
(33, 185) appeared 9 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, utterances4, 
(40, 185) appeared 8 times in: kelly_angles1, krithika_angles2, identities1, identities2, identities3, utterances1, utterances3, utterances4, 
(37, 57) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances1, utterances3, 
(39, 185) appeared 8 times in: kelly_angles1, krithika_angles2, identities1, identities2, identities3, utterances1, utterances3, utterances4, 
(146, 269) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances3, utterances4, 
(95, 269) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances3, utterances4, 
(87, 270) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances3, utterances4, 
(61, 267) appeared 8 times in: kelly_angles1, krithika_angles2, identities1, identities2, identities3, utterances1, utterances3, utterances4, 
(267, 308) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances3, utterances4, 
(76, 267) appeared 8 times in: kelly_angles1, krithika_angles2, identities1, identities2, identities3, utterances1, utterances3, utterances4, 
(78, 267) appeared 8 times in: kelly_angles1, krithika_angles2, identities1, identities2, identities3, utterances1, utterances3, utterances4, 
(146, 311) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances3, utterances4, 
(62, 267) appeared 8 times in: kelly_angles1, krithika_angles2, identities1, identities2, identities3, utterances1, utterances3, utterances4, 
(267, 292) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances3, utterances4, 
(267, 306) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances3, utterances4, 
(178, 270) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances3, utterances4, 
(91, 270) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances3, utterances4, 
(0, 291) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities2, identities3, utterances1, utterances3, utterances4, 
(91, 310) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities1, identities2, identities3, utterances3, utterances4, 
(146, 270) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities2, identities3, utterances1, utterances3, utterances4, 
(88, 270) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities2, identities3, utterances1, utterances3, utterances4, 
(37, 306) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities2, identities3, utterances1, utterances3, utterances4, 
(0, 191) appeared 8 times in: kelly_angles1, krithika_angles2, identities1, identities2, identities3, utterances1, utterances3, utterances4, 
(185, 269) appeared 8 times in: kelly_angles1, krithika_angles2, identities2, identities3, utterances1, utterances2, utterances3, utterances4, 
(57, 308) appeared 8 times in: kelly_angles1, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(95, 270) appeared 8 times in: kelly_angles1, kelly_angles2, krithika_angles2, identities2, identities3, utterances1, utterances3, utterances4, 
(185, 308) appeared 8 times in: kelly_angles1, identities1, identities2, identities3, utterances1, utterances2, utterances3, utterances4, 
(40, 269) appeared 8 times in: kelly_angles1, krithika_angles2, identities2, identities3, utterances1, utterances2, utterances3, utterances4, 
